group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
laast_deathstarbench,,,,,176741122.0,ns,1
laast_deathstarbench,,,,,172556365.0,ns,1
laast_deathstarbench,,,,,168838487.0,ns,1
laast_deathstarbench,,,,,164521713.0,ns,1
laast_deathstarbench,,,,,173708538.0,ns,1
laast_deathstarbench,,,,,315332882.0,ns,1
laast_deathstarbench,,,,,356247061.0,ns,1
laast_deathstarbench,,,,,323565614.0,ns,1
laast_deathstarbench,,,,,326202136.0,ns,1
laast_deathstarbench,,,,,204325726.0,ns,1
laast_deathstarbench,,,,,177643841.0,ns,1
laast_deathstarbench,,,,,173181742.0,ns,1
laast_deathstarbench,,,,,166417608.0,ns,1
laast_deathstarbench,,,,,166687967.0,ns,1
laast_deathstarbench,,,,,173184613.0,ns,1
laast_deathstarbench,,,,,191846326.0,ns,1
laast_deathstarbench,,,,,319242903.0,ns,1
laast_deathstarbench,,,,,170396345.0,ns,1
laast_deathstarbench,,,,,214276398.0,ns,1
laast_deathstarbench,,,,,222695278.0,ns,1
laast_deathstarbench,,,,,174638185.0,ns,1
laast_deathstarbench,,,,,167896702.0,ns,1
laast_deathstarbench,,,,,190579210.0,ns,1
laast_deathstarbench,,,,,179567291.0,ns,1
laast_deathstarbench,,,,,167968339.0,ns,1
laast_deathstarbench,,,,,169502615.0,ns,1
laast_deathstarbench,,,,,298291536.0,ns,1
laast_deathstarbench,,,,,321269865.0,ns,1
laast_deathstarbench,,,,,296863992.0,ns,1
laast_deathstarbench,,,,,375924131.0,ns,1
laast_deathstarbench,,,,,407823124.0,ns,1
laast_deathstarbench,,,,,293933837.0,ns,1
laast_deathstarbench,,,,,206971536.0,ns,1
laast_deathstarbench,,,,,205166512.0,ns,1
laast_deathstarbench,,,,,209582281.0,ns,1
laast_deathstarbench,,,,,215568138.0,ns,1
laast_deathstarbench,,,,,172522973.0,ns,1
laast_deathstarbench,,,,,180582958.0,ns,1
laast_deathstarbench,,,,,173234680.0,ns,1
laast_deathstarbench,,,,,182084570.0,ns,1
laast_deathstarbench,,,,,186019492.0,ns,1
laast_deathstarbench,,,,,169932069.0,ns,1
laast_deathstarbench,,,,,172061586.0,ns,1
laast_deathstarbench,,,,,203848524.0,ns,1
laast_deathstarbench,,,,,174282386.0,ns,1
laast_deathstarbench,,,,,172814121.0,ns,1
laast_deathstarbench,,,,,170367122.0,ns,1
laast_deathstarbench,,,,,189846310.0,ns,1
laast_deathstarbench,,,,,176825565.0,ns,1
laast_deathstarbench,,,,,168476582.0,ns,1
laast_deathstarbench,,,,,172948688.0,ns,1
laast_deathstarbench,,,,,188813415.0,ns,1
laast_deathstarbench,,,,,172816916.0,ns,1
laast_deathstarbench,,,,,199863784.0,ns,1
laast_deathstarbench,,,,,173020475.0,ns,1
laast_deathstarbench,,,,,230161546.0,ns,1
laast_deathstarbench,,,,,258731463.0,ns,1
laast_deathstarbench,,,,,173137298.0,ns,1
laast_deathstarbench,,,,,175838916.0,ns,1
laast_deathstarbench,,,,,170559578.0,ns,1
laast_deathstarbench,,,,,169554661.0,ns,1
laast_deathstarbench,,,,,175362604.0,ns,1
laast_deathstarbench,,,,,167766105.0,ns,1
laast_deathstarbench,,,,,168427280.0,ns,1
laast_deathstarbench,,,,,167457876.0,ns,1
laast_deathstarbench,,,,,167606822.0,ns,1
laast_deathstarbench,,,,,173760502.0,ns,1
laast_deathstarbench,,,,,168977405.0,ns,1
laast_deathstarbench,,,,,171386397.0,ns,1
laast_deathstarbench,,,,,168604081.0,ns,1
laast_deathstarbench,,,,,168680244.0,ns,1
laast_deathstarbench,,,,,169098984.0,ns,1
laast_deathstarbench,,,,,167399492.0,ns,1
laast_deathstarbench,,,,,168057349.0,ns,1
laast_deathstarbench,,,,,168486262.0,ns,1
laast_deathstarbench,,,,,177285984.0,ns,1
laast_deathstarbench,,,,,180707412.0,ns,1
laast_deathstarbench,,,,,169504954.0,ns,1
laast_deathstarbench,,,,,168370822.0,ns,1
laast_deathstarbench,,,,,172050291.0,ns,1
laast_deathstarbench,,,,,248301938.0,ns,1
laast_deathstarbench,,,,,174490766.0,ns,1
laast_deathstarbench,,,,,170544269.0,ns,1
laast_deathstarbench,,,,,165738472.0,ns,1
laast_deathstarbench,,,,,167115128.0,ns,1
laast_deathstarbench,,,,,173542656.0,ns,1
laast_deathstarbench,,,,,173071013.0,ns,1
laast_deathstarbench,,,,,169060352.0,ns,1
laast_deathstarbench,,,,,168219954.0,ns,1
laast_deathstarbench,,,,,170139944.0,ns,1
laast_deathstarbench,,,,,191006523.0,ns,1
laast_deathstarbench,,,,,218036279.0,ns,1
laast_deathstarbench,,,,,196422570.0,ns,1
laast_deathstarbench,,,,,217167758.0,ns,1
laast_deathstarbench,,,,,203551228.0,ns,1
laast_deathstarbench,,,,,227736392.0,ns,1
laast_deathstarbench,,,,,180387324.0,ns,1
laast_deathstarbench,,,,,213745843.0,ns,1
laast_deathstarbench,,,,,168970470.0,ns,1
laast_deathstarbench,,,,,179741756.0,ns,1
