group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
laast_deathstarbench,,,,,60275244.0,ns,2
laast_deathstarbench,,,,,63404109.0,ns,2
laast_deathstarbench,,,,,59941344.0,ns,2
laast_deathstarbench,,,,,58942595.0,ns,2
laast_deathstarbench,,,,,62213121.0,ns,2
laast_deathstarbench,,,,,58985823.0,ns,2
laast_deathstarbench,,,,,58607009.0,ns,2
laast_deathstarbench,,,,,58590072.0,ns,2
laast_deathstarbench,,,,,58514491.0,ns,2
laast_deathstarbench,,,,,58299881.0,ns,2
laast_deathstarbench,,,,,58580582.0,ns,2
laast_deathstarbench,,,,,59490821.0,ns,2
laast_deathstarbench,,,,,58834595.0,ns,2
laast_deathstarbench,,,,,59433739.0,ns,2
laast_deathstarbench,,,,,58653739.0,ns,2
laast_deathstarbench,,,,,58364572.0,ns,2
laast_deathstarbench,,,,,58246097.0,ns,2
laast_deathstarbench,,,,,58704248.0,ns,2
laast_deathstarbench,,,,,58790073.0,ns,2
laast_deathstarbench,,,,,58220752.0,ns,2
laast_deathstarbench,,,,,58429401.0,ns,2
laast_deathstarbench,,,,,58289398.0,ns,2
laast_deathstarbench,,,,,58608935.0,ns,2
laast_deathstarbench,,,,,58303971.0,ns,2
laast_deathstarbench,,,,,58481596.0,ns,2
laast_deathstarbench,,,,,58182534.0,ns,2
laast_deathstarbench,,,,,58700290.0,ns,2
laast_deathstarbench,,,,,58476737.0,ns,2
laast_deathstarbench,,,,,59106633.0,ns,2
laast_deathstarbench,,,,,58227365.0,ns,2
laast_deathstarbench,,,,,58385411.0,ns,2
laast_deathstarbench,,,,,58349904.0,ns,2
laast_deathstarbench,,,,,58573716.0,ns,2
laast_deathstarbench,,,,,59896688.0,ns,2
laast_deathstarbench,,,,,60928174.0,ns,2
laast_deathstarbench,,,,,62147682.0,ns,2
laast_deathstarbench,,,,,58711182.0,ns,2
laast_deathstarbench,,,,,58889444.0,ns,2
laast_deathstarbench,,,,,61923380.0,ns,2
laast_deathstarbench,,,,,92698994.0,ns,2
laast_deathstarbench,,,,,75289258.0,ns,2
laast_deathstarbench,,,,,68949593.0,ns,2
laast_deathstarbench,,,,,70742523.0,ns,2
laast_deathstarbench,,,,,59782801.0,ns,2
laast_deathstarbench,,,,,60040492.0,ns,2
laast_deathstarbench,,,,,62437854.0,ns,2
laast_deathstarbench,,,,,59399792.0,ns,2
laast_deathstarbench,,,,,61892028.0,ns,2
laast_deathstarbench,,,,,66324778.0,ns,2
laast_deathstarbench,,,,,96346522.0,ns,2
laast_deathstarbench,,,,,60120157.0,ns,2
laast_deathstarbench,,,,,59964762.0,ns,2
laast_deathstarbench,,,,,61255215.0,ns,2
laast_deathstarbench,,,,,74178063.0,ns,2
laast_deathstarbench,,,,,72688414.0,ns,2
laast_deathstarbench,,,,,59529535.0,ns,2
laast_deathstarbench,,,,,59127804.0,ns,2
laast_deathstarbench,,,,,58782528.0,ns,2
laast_deathstarbench,,,,,58507128.0,ns,2
laast_deathstarbench,,,,,59504560.0,ns,2
laast_deathstarbench,,,,,60449204.0,ns,2
laast_deathstarbench,,,,,58540306.0,ns,2
laast_deathstarbench,,,,,58729338.0,ns,2
laast_deathstarbench,,,,,59395316.0,ns,2
laast_deathstarbench,,,,,60057605.0,ns,2
laast_deathstarbench,,,,,61106825.0,ns,2
laast_deathstarbench,,,,,61414601.0,ns,2
laast_deathstarbench,,,,,61304425.0,ns,2
laast_deathstarbench,,,,,74454243.0,ns,2
laast_deathstarbench,,,,,106373878.0,ns,2
laast_deathstarbench,,,,,97929902.0,ns,2
laast_deathstarbench,,,,,99352655.0,ns,2
laast_deathstarbench,,,,,103768596.0,ns,2
laast_deathstarbench,,,,,105191127.0,ns,2
laast_deathstarbench,,,,,101571393.0,ns,2
laast_deathstarbench,,,,,103918873.0,ns,2
laast_deathstarbench,,,,,85944194.0,ns,2
laast_deathstarbench,,,,,59385082.0,ns,2
laast_deathstarbench,,,,,139880857.0,ns,2
laast_deathstarbench,,,,,136303326.0,ns,2
laast_deathstarbench,,,,,146948919.0,ns,2
laast_deathstarbench,,,,,141482391.0,ns,2
laast_deathstarbench,,,,,158835719.0,ns,2
laast_deathstarbench,,,,,127414189.0,ns,2
laast_deathstarbench,,,,,60044572.0,ns,2
laast_deathstarbench,,,,,60104822.0,ns,2
laast_deathstarbench,,,,,58287022.0,ns,2
laast_deathstarbench,,,,,58357881.0,ns,2
laast_deathstarbench,,,,,59106351.0,ns,2
laast_deathstarbench,,,,,58555099.0,ns,2
laast_deathstarbench,,,,,58202700.0,ns,2
laast_deathstarbench,,,,,61634064.0,ns,2
laast_deathstarbench,,,,,65002166.0,ns,2
laast_deathstarbench,,,,,59649661.0,ns,2
laast_deathstarbench,,,,,58558754.0,ns,2
laast_deathstarbench,,,,,59886497.0,ns,2
laast_deathstarbench,,,,,63599311.0,ns,2
laast_deathstarbench,,,,,60734104.0,ns,2
laast_deathstarbench,,,,,59744448.0,ns,2
laast_deathstarbench,,,,,69971624.0,ns,2
