group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
laast_deathstarbench_mem,,,,,42103831.0,ns,1
laast_deathstarbench_mem,,,,,45929612.0,ns,1
laast_deathstarbench_mem,,,,,44293750.0,ns,1
laast_deathstarbench_mem,,,,,46381136.0,ns,1
laast_deathstarbench_mem,,,,,40516919.0,ns,1
laast_deathstarbench_mem,,,,,43693460.0,ns,1
laast_deathstarbench_mem,,,,,42101305.0,ns,1
laast_deathstarbench_mem,,,,,41081490.0,ns,1
laast_deathstarbench_mem,,,,,43574197.0,ns,1
laast_deathstarbench_mem,,,,,40814001.0,ns,1
laast_deathstarbench_mem,,,,,43626126.0,ns,1
laast_deathstarbench_mem,,,,,44139866.0,ns,1
laast_deathstarbench_mem,,,,,40999663.0,ns,1
laast_deathstarbench_mem,,,,,40185033.0,ns,1
laast_deathstarbench_mem,,,,,40170079.0,ns,1
laast_deathstarbench_mem,,,,,44945756.0,ns,1
laast_deathstarbench_mem,,,,,62880268.0,ns,1
laast_deathstarbench_mem,,,,,46490789.0,ns,1
laast_deathstarbench_mem,,,,,43918729.0,ns,1
laast_deathstarbench_mem,,,,,43996032.0,ns,1
laast_deathstarbench_mem,,,,,44245686.0,ns,1
laast_deathstarbench_mem,,,,,40987793.0,ns,1
laast_deathstarbench_mem,,,,,40524894.0,ns,1
laast_deathstarbench_mem,,,,,47707071.0,ns,1
laast_deathstarbench_mem,,,,,43556305.0,ns,1
laast_deathstarbench_mem,,,,,40088740.0,ns,1
laast_deathstarbench_mem,,,,,39710844.0,ns,1
laast_deathstarbench_mem,,,,,38960239.0,ns,1
laast_deathstarbench_mem,,,,,50015533.0,ns,1
laast_deathstarbench_mem,,,,,52707610.0,ns,1
laast_deathstarbench_mem,,,,,55478794.0,ns,1
laast_deathstarbench_mem,,,,,55737785.0,ns,1
laast_deathstarbench_mem,,,,,60987515.0,ns,1
laast_deathstarbench_mem,,,,,58266379.0,ns,1
laast_deathstarbench_mem,,,,,59535004.0,ns,1
laast_deathstarbench_mem,,,,,62203290.0,ns,1
laast_deathstarbench_mem,,,,,59570741.0,ns,1
laast_deathstarbench_mem,,,,,59425140.0,ns,1
laast_deathstarbench_mem,,,,,46982005.0,ns,1
laast_deathstarbench_mem,,,,,43073399.0,ns,1
laast_deathstarbench_mem,,,,,43507366.0,ns,1
laast_deathstarbench_mem,,,,,40789641.0,ns,1
laast_deathstarbench_mem,,,,,70460129.0,ns,1
laast_deathstarbench_mem,,,,,67768034.0,ns,1
laast_deathstarbench_mem,,,,,48485735.0,ns,1
laast_deathstarbench_mem,,,,,43952918.0,ns,1
laast_deathstarbench_mem,,,,,40935871.0,ns,1
laast_deathstarbench_mem,,,,,40278677.0,ns,1
laast_deathstarbench_mem,,,,,40225362.0,ns,1
laast_deathstarbench_mem,,,,,41222795.0,ns,1
laast_deathstarbench_mem,,,,,38900906.0,ns,1
laast_deathstarbench_mem,,,,,41476798.0,ns,1
laast_deathstarbench_mem,,,,,44444977.0,ns,1
laast_deathstarbench_mem,,,,,44994958.0,ns,1
laast_deathstarbench_mem,,,,,44363405.0,ns,1
laast_deathstarbench_mem,,,,,44004653.0,ns,1
laast_deathstarbench_mem,,,,,42194009.0,ns,1
laast_deathstarbench_mem,,,,,43175213.0,ns,1
laast_deathstarbench_mem,,,,,43849227.0,ns,1
laast_deathstarbench_mem,,,,,42771132.0,ns,1
laast_deathstarbench_mem,,,,,41503273.0,ns,1
laast_deathstarbench_mem,,,,,43362553.0,ns,1
laast_deathstarbench_mem,,,,,41754997.0,ns,1
laast_deathstarbench_mem,,,,,41702164.0,ns,1
laast_deathstarbench_mem,,,,,49545213.0,ns,1
laast_deathstarbench_mem,,,,,50413614.0,ns,1
laast_deathstarbench_mem,,,,,53471184.0,ns,1
laast_deathstarbench_mem,,,,,54648316.0,ns,1
laast_deathstarbench_mem,,,,,52919948.0,ns,1
laast_deathstarbench_mem,,,,,53552699.0,ns,1
laast_deathstarbench_mem,,,,,58136022.0,ns,1
