group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
laast_total_deathstarbench_mem,,,,,228989147.0,ns,1
laast_total_deathstarbench_mem,,,,,220656215.0,ns,1
laast_total_deathstarbench_mem,,,,,224758036.0,ns,1
laast_total_deathstarbench_mem,,,,,258182039.0,ns,1
laast_total_deathstarbench_mem,,,,,243581420.0,ns,1
laast_total_deathstarbench_mem,,,,,287830907.0,ns,1
laast_total_deathstarbench_mem,,,,,280701546.0,ns,1
laast_total_deathstarbench_mem,,,,,230893324.0,ns,1
laast_total_deathstarbench_mem,,,,,215192633.0,ns,1
laast_total_deathstarbench_mem,,,,,207704879.0,ns,1
laast_total_deathstarbench_mem,,,,,213205648.0,ns,1
laast_total_deathstarbench_mem,,,,,240651964.0,ns,1
laast_total_deathstarbench_mem,,,,,250029699.0,ns,1
laast_total_deathstarbench_mem,,,,,245657464.0,ns,1
laast_total_deathstarbench_mem,,,,,243970664.0,ns,1
laast_total_deathstarbench_mem,,,,,229214329.0,ns,1
laast_total_deathstarbench_mem,,,,,223840838.0,ns,1
laast_total_deathstarbench_mem,,,,,229377698.0,ns,1
laast_total_deathstarbench_mem,,,,,240661588.0,ns,1
laast_total_deathstarbench_mem,,,,,236109818.0,ns,1
laast_total_deathstarbench_mem,,,,,223363147.0,ns,1
laast_total_deathstarbench_mem,,,,,223127122.0,ns,1
laast_total_deathstarbench_mem,,,,,228311607.0,ns,1
laast_total_deathstarbench_mem,,,,,230102315.0,ns,1
laast_total_deathstarbench_mem,,,,,257134148.0,ns,1
laast_total_deathstarbench_mem,,,,,231060813.0,ns,1
laast_total_deathstarbench_mem,,,,,228977406.0,ns,1
laast_total_deathstarbench_mem,,,,,242575215.0,ns,1
laast_total_deathstarbench_mem,,,,,281443374.0,ns,1
laast_total_deathstarbench_mem,,,,,250919865.0,ns,1
laast_total_deathstarbench_mem,,,,,238798338.0,ns,1
laast_total_deathstarbench_mem,,,,,313842602.0,ns,1
laast_total_deathstarbench_mem,,,,,286617296.0,ns,1
laast_total_deathstarbench_mem,,,,,288322727.0,ns,1
laast_total_deathstarbench_mem,,,,,271702026.0,ns,1
laast_total_deathstarbench_mem,,,,,243891351.0,ns,1
laast_total_deathstarbench_mem,,,,,226037541.0,ns,1
laast_total_deathstarbench_mem,,,,,222371222.0,ns,1
laast_total_deathstarbench_mem,,,,,223944767.0,ns,1
laast_total_deathstarbench_mem,,,,,228336177.0,ns,1
laast_total_deathstarbench_mem,,,,,245522391.0,ns,1
laast_total_deathstarbench_mem,,,,,237783036.0,ns,1
laast_total_deathstarbench_mem,,,,,263071696.0,ns,1
laast_total_deathstarbench_mem,,,,,231968262.0,ns,1
laast_total_deathstarbench_mem,,,,,223095831.0,ns,1
laast_total_deathstarbench_mem,,,,,234380750.0,ns,1
laast_total_deathstarbench_mem,,,,,232001098.0,ns,1
laast_total_deathstarbench_mem,,,,,237230176.0,ns,1
laast_total_deathstarbench_mem,,,,,236570482.0,ns,1
laast_total_deathstarbench_mem,,,,,246474231.0,ns,1
laast_total_deathstarbench_mem,,,,,258774622.0,ns,1
laast_total_deathstarbench_mem,,,,,265265806.0,ns,1
laast_total_deathstarbench_mem,,,,,265746529.0,ns,1
laast_total_deathstarbench_mem,,,,,260254569.0,ns,1
laast_total_deathstarbench_mem,,,,,257683643.0,ns,1
laast_total_deathstarbench_mem,,,,,256079105.0,ns,1
laast_total_deathstarbench_mem,,,,,235348544.0,ns,1
laast_total_deathstarbench_mem,,,,,224393027.0,ns,1
laast_total_deathstarbench_mem,,,,,235831880.0,ns,1
laast_total_deathstarbench_mem,,,,,248011034.0,ns,1
laast_total_deathstarbench_mem,,,,,252974065.0,ns,1
laast_total_deathstarbench_mem,,,,,259945300.0,ns,1
laast_total_deathstarbench_mem,,,,,256127773.0,ns,1
laast_total_deathstarbench_mem,,,,,235634605.0,ns,1
laast_total_deathstarbench_mem,,,,,230757225.0,ns,1
laast_total_deathstarbench_mem,,,,,223803707.0,ns,1
laast_total_deathstarbench_mem,,,,,227755275.0,ns,1
laast_total_deathstarbench_mem,,,,,235843890.0,ns,1
laast_total_deathstarbench_mem,,,,,238861704.0,ns,1
laast_total_deathstarbench_mem,,,,,251936040.0,ns,1
laast_total_deathstarbench_mem,,,,,247373381.0,ns,1
laast_total_deathstarbench_mem,,,,,253537041.0,ns,1
laast_total_deathstarbench_mem,,,,,249323057.0,ns,1
laast_total_deathstarbench_mem,,,,,286045797.0,ns,1
laast_total_deathstarbench_mem,,,,,271416838.0,ns,1
laast_total_deathstarbench_mem,,,,,255525929.0,ns,1
laast_total_deathstarbench_mem,,,,,237512888.0,ns,1
laast_total_deathstarbench_mem,,,,,228217012.0,ns,1
laast_total_deathstarbench_mem,,,,,225974088.0,ns,1
laast_total_deathstarbench_mem,,,,,225621826.0,ns,1
laast_total_deathstarbench_mem,,,,,238404276.0,ns,1
laast_total_deathstarbench_mem,,,,,257136314.0,ns,1
laast_total_deathstarbench_mem,,,,,235158094.0,ns,1
laast_total_deathstarbench_mem,,,,,286530847.0,ns,1
laast_total_deathstarbench_mem,,,,,258634946.0,ns,1
laast_total_deathstarbench_mem,,,,,235362342.0,ns,1
laast_total_deathstarbench_mem,,,,,232240593.0,ns,1
laast_total_deathstarbench_mem,,,,,231670719.0,ns,1
laast_total_deathstarbench_mem,,,,,229599153.0,ns,1
laast_total_deathstarbench_mem,,,,,235611410.0,ns,1
laast_total_deathstarbench_mem,,,,,240500944.0,ns,1
laast_total_deathstarbench_mem,,,,,246985394.0,ns,1
laast_total_deathstarbench_mem,,,,,257418710.0,ns,1
laast_total_deathstarbench_mem,,,,,244661264.0,ns,1
laast_total_deathstarbench_mem,,,,,239593711.0,ns,1
laast_total_deathstarbench_mem,,,,,258707975.0,ns,1
laast_total_deathstarbench_mem,,,,,283067084.0,ns,1
laast_total_deathstarbench_mem,,,,,264451661.0,ns,1
laast_total_deathstarbench_mem,,,,,254452611.0,ns,1
laast_total_deathstarbench_mem,,,,,271062574.0,ns,1
