group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
laast_total_trainticket,,,,,564467304.0,ns,1
laast_total_trainticket,,,,,841227673.0,ns,1
laast_total_trainticket,,,,,517935475.0,ns,1
laast_total_trainticket,,,,,486960211.0,ns,1
laast_total_trainticket,,,,,484106498.0,ns,1
laast_total_trainticket,,,,,485958111.0,ns,1
laast_total_trainticket,,,,,483058822.0,ns,1
laast_total_trainticket,,,,,494822389.0,ns,1
laast_total_trainticket,,,,,567028730.0,ns,1
laast_total_trainticket,,,,,731383249.0,ns,1
laast_total_trainticket,,,,,679875672.0,ns,1
laast_total_trainticket,,,,,528638744.0,ns,1
laast_total_trainticket,,,,,507569130.0,ns,1
laast_total_trainticket,,,,,617872218.0,ns,1
laast_total_trainticket,,,,,890554897.0,ns,1
laast_total_trainticket,,,,,867350569.0,ns,1
laast_total_trainticket,,,,,641138903.0,ns,1
laast_total_trainticket,,,,,780718207.0,ns,1
laast_total_trainticket,,,,,718367132.0,ns,1
laast_total_trainticket,,,,,679937715.0,ns,1
laast_total_trainticket,,,,,634081439.0,ns,1
laast_total_trainticket,,,,,716066721.0,ns,1
laast_total_trainticket,,,,,652999238.0,ns,1
laast_total_trainticket,,,,,670087436.0,ns,1
laast_total_trainticket,,,,,689127069.0,ns,1
laast_total_trainticket,,,,,650882543.0,ns,1
laast_total_trainticket,,,,,657323126.0,ns,1
laast_total_trainticket,,,,,606675630.0,ns,1
laast_total_trainticket,,,,,963415276.0,ns,1
laast_total_trainticket,,,,,1025089149.0,ns,1
laast_total_trainticket,,,,,826317499.0,ns,1
laast_total_trainticket,,,,,744242568.0,ns,1
laast_total_trainticket,,,,,584658551.0,ns,1
laast_total_trainticket,,,,,502359096.0,ns,1
laast_total_trainticket,,,,,620603083.0,ns,1
laast_total_trainticket,,,,,639722614.0,ns,1
laast_total_trainticket,,,,,957298193.0,ns,1
laast_total_trainticket,,,,,804061360.0,ns,1
laast_total_trainticket,,,,,519372447.0,ns,1
laast_total_trainticket,,,,,571160506.0,ns,1
laast_total_trainticket,,,,,559368284.0,ns,1
laast_total_trainticket,,,,,505777049.0,ns,1
laast_total_trainticket,,,,,583076946.0,ns,1
laast_total_trainticket,,,,,478737048.0,ns,1
laast_total_trainticket,,,,,541041885.0,ns,1
laast_total_trainticket,,,,,536302699.0,ns,1
laast_total_trainticket,,,,,583646375.0,ns,1
laast_total_trainticket,,,,,743644927.0,ns,1
laast_total_trainticket,,,,,683574592.0,ns,1
laast_total_trainticket,,,,,1026342903.0,ns,1
laast_total_trainticket,,,,,540377861.0,ns,1
laast_total_trainticket,,,,,544448284.0,ns,1
laast_total_trainticket,,,,,642503308.0,ns,1
laast_total_trainticket,,,,,872505659.0,ns,1
laast_total_trainticket,,,,,945023309.0,ns,1
laast_total_trainticket,,,,,487788701.0,ns,1
laast_total_trainticket,,,,,442852640.0,ns,1
laast_total_trainticket,,,,,441504817.0,ns,1
laast_total_trainticket,,,,,440836730.0,ns,1
laast_total_trainticket,,,,,634639812.0,ns,1
laast_total_trainticket,,,,,577503650.0,ns,1
laast_total_trainticket,,,,,452602676.0,ns,1
laast_total_trainticket,,,,,447876657.0,ns,1
laast_total_trainticket,,,,,444238681.0,ns,1
laast_total_trainticket,,,,,451173069.0,ns,1
laast_total_trainticket,,,,,749138103.0,ns,1
laast_total_trainticket,,,,,687223801.0,ns,1
laast_total_trainticket,,,,,842552236.0,ns,1
laast_total_trainticket,,,,,459231929.0,ns,1
laast_total_trainticket,,,,,549742305.0,ns,1
laast_total_trainticket,,,,,564818438.0,ns,1
laast_total_trainticket,,,,,653384188.0,ns,1
laast_total_trainticket,,,,,559884890.0,ns,1
laast_total_trainticket,,,,,641617724.0,ns,1
laast_total_trainticket,,,,,499268878.0,ns,1
laast_total_trainticket,,,,,586349840.0,ns,1
laast_total_trainticket,,,,,674013180.0,ns,1
laast_total_trainticket,,,,,608792770.0,ns,1
laast_total_trainticket,,,,,992892663.0,ns,1
laast_total_trainticket,,,,,920925344.0,ns,1
laast_total_trainticket,,,,,668103390.0,ns,1
laast_total_trainticket,,,,,462692536.0,ns,1
laast_total_trainticket,,,,,541039888.0,ns,1
laast_total_trainticket,,,,,470469717.0,ns,1
laast_total_trainticket,,,,,464404151.0,ns,1
laast_total_trainticket,,,,,465849673.0,ns,1
laast_total_trainticket,,,,,466321298.0,ns,1
laast_total_trainticket,,,,,464457876.0,ns,1
laast_total_trainticket,,,,,518829411.0,ns,1
laast_total_trainticket,,,,,492803109.0,ns,1
laast_total_trainticket,,,,,465710003.0,ns,1
laast_total_trainticket,,,,,471490329.0,ns,1
laast_total_trainticket,,,,,458943381.0,ns,1
laast_total_trainticket,,,,,456685863.0,ns,1
laast_total_trainticket,,,,,458730032.0,ns,1
laast_total_trainticket,,,,,448800454.0,ns,1
laast_total_trainticket,,,,,445771156.0,ns,1
laast_total_trainticket,,,,,465497313.0,ns,1
laast_total_trainticket,,,,,464699936.0,ns,1
laast_total_trainticket,,,,,476514425.0,ns,1
