group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
laast_total_trainticket_mem,,,,,799601026.0,ns,1
laast_total_trainticket_mem,,,,,833281087.0,ns,1
laast_total_trainticket_mem,,,,,754448069.0,ns,1
laast_total_trainticket_mem,,,,,708240177.0,ns,1
laast_total_trainticket_mem,,,,,696486765.0,ns,1
laast_total_trainticket_mem,,,,,635414519.0,ns,1
laast_total_trainticket_mem,,,,,580529636.0,ns,1
laast_total_trainticket_mem,,,,,647392369.0,ns,1
laast_total_trainticket_mem,,,,,726220617.0,ns,1
laast_total_trainticket_mem,,,,,670289070.0,ns,1
laast_total_trainticket_mem,,,,,625198649.0,ns,1
laast_total_trainticket_mem,,,,,583132302.0,ns,1
laast_total_trainticket_mem,,,,,680169888.0,ns,1
laast_total_trainticket_mem,,,,,700541330.0,ns,1
laast_total_trainticket_mem,,,,,646094267.0,ns,1
laast_total_trainticket_mem,,,,,669500613.0,ns,1
laast_total_trainticket_mem,,,,,694681665.0,ns,1
laast_total_trainticket_mem,,,,,687965985.0,ns,1
laast_total_trainticket_mem,,,,,700959201.0,ns,1
laast_total_trainticket_mem,,,,,690132410.0,ns,1
laast_total_trainticket_mem,,,,,646187232.0,ns,1
laast_total_trainticket_mem,,,,,661566061.0,ns,1
laast_total_trainticket_mem,,,,,626884125.0,ns,1
laast_total_trainticket_mem,,,,,669996419.0,ns,1
laast_total_trainticket_mem,,,,,679850280.0,ns,1
laast_total_trainticket_mem,,,,,628475678.0,ns,1
laast_total_trainticket_mem,,,,,608427277.0,ns,1
laast_total_trainticket_mem,,,,,593722744.0,ns,1
laast_total_trainticket_mem,,,,,710471114.0,ns,1
laast_total_trainticket_mem,,,,,643549824.0,ns,1
laast_total_trainticket_mem,,,,,669984869.0,ns,1
laast_total_trainticket_mem,,,,,831109574.0,ns,1
laast_total_trainticket_mem,,,,,779001833.0,ns,1
laast_total_trainticket_mem,,,,,642039564.0,ns,1
laast_total_trainticket_mem,,,,,639194720.0,ns,1
laast_total_trainticket_mem,,,,,651112522.0,ns,1
laast_total_trainticket_mem,,,,,634230398.0,ns,1
laast_total_trainticket_mem,,,,,640664397.0,ns,1
laast_total_trainticket_mem,,,,,638875438.0,ns,1
laast_total_trainticket_mem,,,,,666819398.0,ns,1
laast_total_trainticket_mem,,,,,689426863.0,ns,1
laast_total_trainticket_mem,,,,,663927295.0,ns,1
laast_total_trainticket_mem,,,,,625581629.0,ns,1
laast_total_trainticket_mem,,,,,695506000.0,ns,1
laast_total_trainticket_mem,,,,,792589342.0,ns,1
laast_total_trainticket_mem,,,,,675354127.0,ns,1
laast_total_trainticket_mem,,,,,734937660.0,ns,1
laast_total_trainticket_mem,,,,,705637854.0,ns,1
laast_total_trainticket_mem,,,,,687430456.0,ns,1
laast_total_trainticket_mem,,,,,738323729.0,ns,1
laast_total_trainticket_mem,,,,,721210166.0,ns,1
laast_total_trainticket_mem,,,,,703723978.0,ns,1
laast_total_trainticket_mem,,,,,701980867.0,ns,1
laast_total_trainticket_mem,,,,,652843692.0,ns,1
laast_total_trainticket_mem,,,,,699064158.0,ns,1
laast_total_trainticket_mem,,,,,665759761.0,ns,1
laast_total_trainticket_mem,,,,,692551879.0,ns,1
laast_total_trainticket_mem,,,,,674618249.0,ns,1
laast_total_trainticket_mem,,,,,765816995.0,ns,1
laast_total_trainticket_mem,,,,,681371651.0,ns,1
laast_total_trainticket_mem,,,,,634213380.0,ns,1
laast_total_trainticket_mem,,,,,588684346.0,ns,1
laast_total_trainticket_mem,,,,,656382583.0,ns,1
laast_total_trainticket_mem,,,,,709993090.0,ns,1
laast_total_trainticket_mem,,,,,655189621.0,ns,1
laast_total_trainticket_mem,,,,,620417435.0,ns,1
laast_total_trainticket_mem,,,,,659212961.0,ns,1
laast_total_trainticket_mem,,,,,651953332.0,ns,1
laast_total_trainticket_mem,,,,,663781914.0,ns,1
laast_total_trainticket_mem,,,,,636440065.0,ns,1
laast_total_trainticket_mem,,,,,659021412.0,ns,1
laast_total_trainticket_mem,,,,,675532780.0,ns,1
laast_total_trainticket_mem,,,,,727432724.0,ns,1
laast_total_trainticket_mem,,,,,684425853.0,ns,1
laast_total_trainticket_mem,,,,,744162244.0,ns,1
laast_total_trainticket_mem,,,,,631572343.0,ns,1
laast_total_trainticket_mem,,,,,684786424.0,ns,1
laast_total_trainticket_mem,,,,,709549951.0,ns,1
laast_total_trainticket_mem,,,,,679226323.0,ns,1
laast_total_trainticket_mem,,,,,677251154.0,ns,1
laast_total_trainticket_mem,,,,,603016674.0,ns,1
laast_total_trainticket_mem,,,,,609660584.0,ns,1
laast_total_trainticket_mem,,,,,611098897.0,ns,1
laast_total_trainticket_mem,,,,,608327637.0,ns,1
laast_total_trainticket_mem,,,,,665107088.0,ns,1
laast_total_trainticket_mem,,,,,673003678.0,ns,1
laast_total_trainticket_mem,,,,,714417206.0,ns,1
laast_total_trainticket_mem,,,,,692771672.0,ns,1
laast_total_trainticket_mem,,,,,738377070.0,ns,1
laast_total_trainticket_mem,,,,,765360111.0,ns,1
laast_total_trainticket_mem,,,,,846430121.0,ns,1
laast_total_trainticket_mem,,,,,718208814.0,ns,1
laast_total_trainticket_mem,,,,,722759185.0,ns,1
laast_total_trainticket_mem,,,,,717500277.0,ns,1
laast_total_trainticket_mem,,,,,678914254.0,ns,1
laast_total_trainticket_mem,,,,,656944673.0,ns,1
laast_total_trainticket_mem,,,,,674332159.0,ns,1
laast_total_trainticket_mem,,,,,625772693.0,ns,1
laast_total_trainticket_mem,,,,,644229678.0,ns,1
laast_total_trainticket_mem,,,,,656195796.0,ns,1
