group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
laast_total_trainticket_mem,,,,,502010294.0,ns,1
laast_total_trainticket_mem,,,,,773446943.0,ns,1
laast_total_trainticket_mem,,,,,550109571.0,ns,1
laast_total_trainticket_mem,,,,,440074520.0,ns,1
laast_total_trainticket_mem,,,,,443439014.0,ns,1
laast_total_trainticket_mem,,,,,442436346.0,ns,1
laast_total_trainticket_mem,,,,,456522297.0,ns,1
laast_total_trainticket_mem,,,,,585930297.0,ns,1
laast_total_trainticket_mem,,,,,579554443.0,ns,1
laast_total_trainticket_mem,,,,,739289301.0,ns,1
laast_total_trainticket_mem,,,,,696635903.0,ns,1
laast_total_trainticket_mem,,,,,485202368.0,ns,1
laast_total_trainticket_mem,,,,,448496203.0,ns,1
laast_total_trainticket_mem,,,,,447513131.0,ns,1
laast_total_trainticket_mem,,,,,463781125.0,ns,1
laast_total_trainticket_mem,,,,,531827362.0,ns,1
laast_total_trainticket_mem,,,,,507335030.0,ns,1
laast_total_trainticket_mem,,,,,476749226.0,ns,1
laast_total_trainticket_mem,,,,,537554403.0,ns,1
laast_total_trainticket_mem,,,,,467448261.0,ns,1
laast_total_trainticket_mem,,,,,445514631.0,ns,1
laast_total_trainticket_mem,,,,,440701336.0,ns,1
laast_total_trainticket_mem,,,,,442266174.0,ns,1
laast_total_trainticket_mem,,,,,438113428.0,ns,1
laast_total_trainticket_mem,,,,,439212889.0,ns,1
laast_total_trainticket_mem,,,,,441343393.0,ns,1
laast_total_trainticket_mem,,,,,445889643.0,ns,1
laast_total_trainticket_mem,,,,,440583244.0,ns,1
laast_total_trainticket_mem,,,,,443512402.0,ns,1
laast_total_trainticket_mem,,,,,441234450.0,ns,1
laast_total_trainticket_mem,,,,,440357108.0,ns,1
laast_total_trainticket_mem,,,,,440387546.0,ns,1
laast_total_trainticket_mem,,,,,449298290.0,ns,1
laast_total_trainticket_mem,,,,,442838127.0,ns,1
laast_total_trainticket_mem,,,,,442660733.0,ns,1
laast_total_trainticket_mem,,,,,443380755.0,ns,1
laast_total_trainticket_mem,,,,,442246363.0,ns,1
laast_total_trainticket_mem,,,,,441047819.0,ns,1
laast_total_trainticket_mem,,,,,439749479.0,ns,1
laast_total_trainticket_mem,,,,,448161423.0,ns,1
laast_total_trainticket_mem,,,,,442054135.0,ns,1
laast_total_trainticket_mem,,,,,446801525.0,ns,1
laast_total_trainticket_mem,,,,,442629895.0,ns,1
laast_total_trainticket_mem,,,,,441455445.0,ns,1
laast_total_trainticket_mem,,,,,455010663.0,ns,1
laast_total_trainticket_mem,,,,,575350362.0,ns,1
laast_total_trainticket_mem,,,,,447212998.0,ns,1
laast_total_trainticket_mem,,,,,445734534.0,ns,1
laast_total_trainticket_mem,,,,,508203462.0,ns,1
laast_total_trainticket_mem,,,,,460814216.0,ns,1
laast_total_trainticket_mem,,,,,471872428.0,ns,1
laast_total_trainticket_mem,,,,,499082185.0,ns,1
laast_total_trainticket_mem,,,,,453274454.0,ns,1
laast_total_trainticket_mem,,,,,455586463.0,ns,1
laast_total_trainticket_mem,,,,,463205924.0,ns,1
laast_total_trainticket_mem,,,,,466304971.0,ns,1
laast_total_trainticket_mem,,,,,445309404.0,ns,1
laast_total_trainticket_mem,,,,,493533717.0,ns,1
laast_total_trainticket_mem,,,,,488748465.0,ns,1
laast_total_trainticket_mem,,,,,570153194.0,ns,1
laast_total_trainticket_mem,,,,,496525114.0,ns,1
laast_total_trainticket_mem,,,,,458971629.0,ns,1
laast_total_trainticket_mem,,,,,492547510.0,ns,1
laast_total_trainticket_mem,,,,,533366128.0,ns,1
laast_total_trainticket_mem,,,,,521312593.0,ns,1
laast_total_trainticket_mem,,,,,503146454.0,ns,1
laast_total_trainticket_mem,,,,,462571947.0,ns,1
laast_total_trainticket_mem,,,,,472649142.0,ns,1
laast_total_trainticket_mem,,,,,471119060.0,ns,1
laast_total_trainticket_mem,,,,,460894417.0,ns,1
laast_total_trainticket_mem,,,,,457832645.0,ns,1
laast_total_trainticket_mem,,,,,487848928.0,ns,1
laast_total_trainticket_mem,,,,,462632435.0,ns,1
laast_total_trainticket_mem,,,,,474378825.0,ns,1
laast_total_trainticket_mem,,,,,465215486.0,ns,1
laast_total_trainticket_mem,,,,,467004345.0,ns,1
laast_total_trainticket_mem,,,,,466128402.0,ns,1
laast_total_trainticket_mem,,,,,482314345.0,ns,1
laast_total_trainticket_mem,,,,,459673107.0,ns,1
laast_total_trainticket_mem,,,,,466489634.0,ns,1
laast_total_trainticket_mem,,,,,459140184.0,ns,1
laast_total_trainticket_mem,,,,,465262420.0,ns,1
laast_total_trainticket_mem,,,,,467686099.0,ns,1
laast_total_trainticket_mem,,,,,466145554.0,ns,1
laast_total_trainticket_mem,,,,,471127568.0,ns,1
laast_total_trainticket_mem,,,,,501824595.0,ns,1
laast_total_trainticket_mem,,,,,460101923.0,ns,1
laast_total_trainticket_mem,,,,,506908777.0,ns,1
laast_total_trainticket_mem,,,,,529128588.0,ns,1
laast_total_trainticket_mem,,,,,464011636.0,ns,1
laast_total_trainticket_mem,,,,,463216388.0,ns,1
laast_total_trainticket_mem,,,,,483704495.0,ns,1
laast_total_trainticket_mem,,,,,511599083.0,ns,1
laast_total_trainticket_mem,,,,,464090979.0,ns,1
laast_total_trainticket_mem,,,,,470293849.0,ns,1
laast_total_trainticket_mem,,,,,470204261.0,ns,1
laast_total_trainticket_mem,,,,,498090745.0,ns,1
laast_total_trainticket_mem,,,,,462731021.0,ns,1
laast_total_trainticket_mem,,,,,456748606.0,ns,1
laast_total_trainticket_mem,,,,,449141731.0,ns,1
