group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
laast_trainticket,,,,,78187872.0,ns,1
laast_trainticket,,,,,129359840.0,ns,1
laast_trainticket,,,,,72963971.0,ns,1
laast_trainticket,,,,,69928844.0,ns,1
laast_trainticket,,,,,71468502.0,ns,1
laast_trainticket,,,,,86110948.0,ns,1
laast_trainticket,,,,,105990191.0,ns,1
laast_trainticket,,,,,91123118.0,ns,1
laast_trainticket,,,,,90019485.0,ns,1
laast_trainticket,,,,,78246626.0,ns,1
laast_trainticket,,,,,74218791.0,ns,1
laast_trainticket,,,,,74472494.0,ns,1
laast_trainticket,,,,,146690768.0,ns,1
laast_trainticket,,,,,118733881.0,ns,1
laast_trainticket,,,,,112473435.0,ns,1
laast_trainticket,,,,,152995209.0,ns,1
laast_trainticket,,,,,80855768.0,ns,1
laast_trainticket,,,,,68892487.0,ns,1
laast_trainticket,,,,,81250107.0,ns,1
laast_trainticket,,,,,118329004.0,ns,1
laast_trainticket,,,,,73834372.0,ns,1
laast_trainticket,,,,,72464197.0,ns,1
laast_trainticket,,,,,68724180.0,ns,1
laast_trainticket,,,,,67752488.0,ns,1
laast_trainticket,,,,,70930188.0,ns,1
laast_trainticket,,,,,68362349.0,ns,1
laast_trainticket,,,,,67821284.0,ns,1
laast_trainticket,,,,,70644501.0,ns,1
laast_trainticket,,,,,96389812.0,ns,1
laast_trainticket,,,,,134111528.0,ns,1
laast_trainticket,,,,,151656630.0,ns,1
laast_trainticket,,,,,156618772.0,ns,1
laast_trainticket,,,,,153704052.0,ns,1
laast_trainticket,,,,,158521151.0,ns,1
laast_trainticket,,,,,123383113.0,ns,1
laast_trainticket,,,,,91441176.0,ns,1
laast_trainticket,,,,,77144353.0,ns,1
laast_trainticket,,,,,105852058.0,ns,1
laast_trainticket,,,,,100071229.0,ns,1
laast_trainticket,,,,,98720273.0,ns,1
laast_trainticket,,,,,91897677.0,ns,1
laast_trainticket,,,,,95931686.0,ns,1
laast_trainticket,,,,,77486518.0,ns,1
laast_trainticket,,,,,68540856.0,ns,1
laast_trainticket,,,,,71000353.0,ns,1
laast_trainticket,,,,,69480565.0,ns,1
laast_trainticket,,,,,67189040.0,ns,1
laast_trainticket,,,,,67171524.0,ns,1
laast_trainticket,,,,,68106986.0,ns,1
laast_trainticket,,,,,67026167.0,ns,1
laast_trainticket,,,,,69269116.0,ns,1
laast_trainticket,,,,,66928803.0,ns,1
laast_trainticket,,,,,66978867.0,ns,1
laast_trainticket,,,,,68897204.0,ns,1
laast_trainticket,,,,,67530291.0,ns,1
laast_trainticket,,,,,67256565.0,ns,1
laast_trainticket,,,,,67375743.0,ns,1
laast_trainticket,,,,,67188098.0,ns,1
laast_trainticket,,,,,66844227.0,ns,1
laast_trainticket,,,,,67069826.0,ns,1
laast_trainticket,,,,,69444632.0,ns,1
laast_trainticket,,,,,67744910.0,ns,1
laast_trainticket,,,,,68671864.0,ns,1
laast_trainticket,,,,,67935243.0,ns,1
laast_trainticket,,,,,67582361.0,ns,1
laast_trainticket,,,,,69276915.0,ns,1
laast_trainticket,,,,,67264895.0,ns,1
laast_trainticket,,,,,67260552.0,ns,1
laast_trainticket,,,,,67465496.0,ns,1
laast_trainticket,,,,,66613650.0,ns,1
laast_trainticket,,,,,67197484.0,ns,1
laast_trainticket,,,,,69647857.0,ns,1
laast_trainticket,,,,,68104946.0,ns,1
laast_trainticket,,,,,68287562.0,ns,1
laast_trainticket,,,,,72781268.0,ns,1
laast_trainticket,,,,,69984489.0,ns,1
laast_trainticket,,,,,70740824.0,ns,1
laast_trainticket,,,,,71527439.0,ns,1
laast_trainticket,,,,,79097405.0,ns,1
laast_trainticket,,,,,108530310.0,ns,1
laast_trainticket,,,,,114228734.0,ns,1
laast_trainticket,,,,,103259439.0,ns,1
laast_trainticket,,,,,90796989.0,ns,1
laast_trainticket,,,,,90030658.0,ns,1
laast_trainticket,,,,,92153793.0,ns,1
laast_trainticket,,,,,103432757.0,ns,1
laast_trainticket,,,,,98110649.0,ns,1
laast_trainticket,,,,,99097233.0,ns,1
laast_trainticket,,,,,105118290.0,ns,1
laast_trainticket,,,,,91969586.0,ns,1
laast_trainticket,,,,,81936939.0,ns,1
laast_trainticket,,,,,77727548.0,ns,1
laast_trainticket,,,,,72808393.0,ns,1
laast_trainticket,,,,,71472632.0,ns,1
laast_trainticket,,,,,68304475.0,ns,1
laast_trainticket,,,,,71372326.0,ns,1
laast_trainticket,,,,,68845869.0,ns,1
laast_trainticket,,,,,86493300.0,ns,1
laast_trainticket,,,,,114263675.0,ns,1
laast_trainticket,,,,,107301111.0,ns,1
