group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
laast_trainticket_mem,,,,,79792135.0,ns,1
laast_trainticket_mem,,,,,119354931.0,ns,1
laast_trainticket_mem,,,,,71224795.0,ns,1
laast_trainticket_mem,,,,,70744765.0,ns,1
laast_trainticket_mem,,,,,68713034.0,ns,1
laast_trainticket_mem,,,,,68189552.0,ns,1
laast_trainticket_mem,,,,,67806150.0,ns,1
laast_trainticket_mem,,,,,91352381.0,ns,1
laast_trainticket_mem,,,,,129099401.0,ns,1
laast_trainticket_mem,,,,,130250795.0,ns,1
laast_trainticket_mem,,,,,130401955.0,ns,1
laast_trainticket_mem,,,,,137882912.0,ns,1
laast_trainticket_mem,,,,,128541056.0,ns,1
laast_trainticket_mem,,,,,113511370.0,ns,1
laast_trainticket_mem,,,,,69153290.0,ns,1
laast_trainticket_mem,,,,,70296346.0,ns,1
laast_trainticket_mem,,,,,67748376.0,ns,1
laast_trainticket_mem,,,,,67517929.0,ns,1
laast_trainticket_mem,,,,,68467785.0,ns,1
laast_trainticket_mem,,,,,67450022.0,ns,1
laast_trainticket_mem,,,,,71254547.0,ns,1
laast_trainticket_mem,,,,,67333864.0,ns,1
laast_trainticket_mem,,,,,72756724.0,ns,1
laast_trainticket_mem,,,,,67819809.0,ns,1
laast_trainticket_mem,,,,,67537200.0,ns,1
laast_trainticket_mem,,,,,67427467.0,ns,1
laast_trainticket_mem,,,,,67458716.0,ns,1
laast_trainticket_mem,,,,,68080935.0,ns,1
laast_trainticket_mem,,,,,69150770.0,ns,1
laast_trainticket_mem,,,,,72182760.0,ns,1
laast_trainticket_mem,,,,,77679892.0,ns,1
laast_trainticket_mem,,,,,71653235.0,ns,1
laast_trainticket_mem,,,,,70500874.0,ns,1
laast_trainticket_mem,,,,,68155311.0,ns,1
laast_trainticket_mem,,,,,68623501.0,ns,1
laast_trainticket_mem,,,,,70074913.0,ns,1
laast_trainticket_mem,,,,,73234892.0,ns,1
laast_trainticket_mem,,,,,71330519.0,ns,1
laast_trainticket_mem,,,,,69513632.0,ns,1
laast_trainticket_mem,,,,,77647702.0,ns,1
laast_trainticket_mem,,,,,72186761.0,ns,1
laast_trainticket_mem,,,,,71756645.0,ns,1
laast_trainticket_mem,,,,,71240575.0,ns,1
laast_trainticket_mem,,,,,68588149.0,ns,1
laast_trainticket_mem,,,,,67715636.0,ns,1
laast_trainticket_mem,,,,,70492223.0,ns,1
laast_trainticket_mem,,,,,75595438.0,ns,1
laast_trainticket_mem,,,,,72721443.0,ns,1
laast_trainticket_mem,,,,,72134437.0,ns,1
laast_trainticket_mem,,,,,69284606.0,ns,1
laast_trainticket_mem,,,,,68157981.0,ns,1
laast_trainticket_mem,,,,,73966189.0,ns,1
laast_trainticket_mem,,,,,69052490.0,ns,1
laast_trainticket_mem,,,,,68428313.0,ns,1
laast_trainticket_mem,,,,,77841661.0,ns,1
laast_trainticket_mem,,,,,72538954.0,ns,1
laast_trainticket_mem,,,,,73555891.0,ns,1
laast_trainticket_mem,,,,,72905827.0,ns,1
laast_trainticket_mem,,,,,72409337.0,ns,1
laast_trainticket_mem,,,,,68268268.0,ns,1
laast_trainticket_mem,,,,,68142644.0,ns,1
laast_trainticket_mem,,,,,69298364.0,ns,1
laast_trainticket_mem,,,,,70542926.0,ns,1
laast_trainticket_mem,,,,,68582680.0,ns,1
laast_trainticket_mem,,,,,68466438.0,ns,1
laast_trainticket_mem,,,,,70791033.0,ns,1
laast_trainticket_mem,,,,,67940473.0,ns,1
laast_trainticket_mem,,,,,68926763.0,ns,1
laast_trainticket_mem,,,,,68449156.0,ns,1
laast_trainticket_mem,,,,,68368214.0,ns,1
laast_trainticket_mem,,,,,68346582.0,ns,1
laast_trainticket_mem,,,,,71464349.0,ns,1
laast_trainticket_mem,,,,,68147338.0,ns,1
laast_trainticket_mem,,,,,68288742.0,ns,1
laast_trainticket_mem,,,,,68462790.0,ns,1
laast_trainticket_mem,,,,,69224462.0,ns,1
laast_trainticket_mem,,,,,69520828.0,ns,1
laast_trainticket_mem,,,,,71942482.0,ns,1
laast_trainticket_mem,,,,,68330910.0,ns,1
laast_trainticket_mem,,,,,68762158.0,ns,1
laast_trainticket_mem,,,,,69143891.0,ns,1
laast_trainticket_mem,,,,,82596580.0,ns,1
laast_trainticket_mem,,,,,68075819.0,ns,1
laast_trainticket_mem,,,,,68666199.0,ns,1
laast_trainticket_mem,,,,,69667654.0,ns,1
laast_trainticket_mem,,,,,69613959.0,ns,1
laast_trainticket_mem,,,,,69454235.0,ns,1
laast_trainticket_mem,,,,,68075508.0,ns,1
laast_trainticket_mem,,,,,68773962.0,ns,1
laast_trainticket_mem,,,,,68821299.0,ns,1
laast_trainticket_mem,,,,,69615558.0,ns,1
laast_trainticket_mem,,,,,68385616.0,ns,1
laast_trainticket_mem,,,,,68140605.0,ns,1
laast_trainticket_mem,,,,,68017732.0,ns,1
laast_trainticket_mem,,,,,69492309.0,ns,1
laast_trainticket_mem,,,,,68258879.0,ns,1
laast_trainticket_mem,,,,,69275468.0,ns,1
laast_trainticket_mem,,,,,68230426.0,ns,1
laast_trainticket_mem,,,,,68348587.0,ns,1
laast_trainticket_mem,,,,,69775200.0,ns,1
