group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
reessa_entity_trainticket,,,,,95300972.0,ns,13
reessa_entity_trainticket,,,,,70824390.0,ns,13
reessa_entity_trainticket,,,,,59578801.0,ns,13
reessa_entity_trainticket,,,,,50412048.0,ns,13
reessa_entity_trainticket,,,,,46785646.0,ns,13
reessa_entity_trainticket,,,,,47035569.0,ns,13
reessa_entity_trainticket,,,,,45630223.0,ns,13
reessa_entity_trainticket,,,,,44706326.0,ns,13
reessa_entity_trainticket,,,,,45407435.0,ns,13
reessa_entity_trainticket,,,,,49428921.0,ns,13
reessa_entity_trainticket,,,,,50933190.0,ns,13
reessa_entity_trainticket,,,,,51028616.0,ns,13
reessa_entity_trainticket,,,,,50508877.0,ns,13
reessa_entity_trainticket,,,,,57416644.0,ns,13
reessa_entity_trainticket,,,,,54514262.0,ns,13
reessa_entity_trainticket,,,,,49956049.0,ns,13
reessa_entity_trainticket,,,,,51139337.0,ns,13
reessa_entity_trainticket,,,,,52938676.0,ns,13
reessa_entity_trainticket,,,,,47942259.0,ns,13
reessa_entity_trainticket,,,,,44460533.0,ns,13
reessa_entity_trainticket,,,,,46502788.0,ns,13
reessa_entity_trainticket,,,,,45475206.0,ns,13
reessa_entity_trainticket,,,,,44449678.0,ns,13
reessa_entity_trainticket,,,,,43850471.0,ns,13
reessa_entity_trainticket,,,,,41053639.0,ns,13
reessa_entity_trainticket,,,,,41780376.0,ns,13
reessa_entity_trainticket,,,,,55648799.0,ns,13
reessa_entity_trainticket,,,,,44143506.0,ns,13
reessa_entity_trainticket,,,,,45356079.0,ns,13
reessa_entity_trainticket,,,,,51792378.0,ns,13
reessa_entity_trainticket,,,,,61052857.0,ns,13
reessa_entity_trainticket,,,,,65373975.0,ns,13
reessa_entity_trainticket,,,,,55372147.0,ns,13
reessa_entity_trainticket,,,,,48452676.0,ns,13
reessa_entity_trainticket,,,,,64505004.0,ns,13
reessa_entity_trainticket,,,,,67914599.0,ns,13
reessa_entity_trainticket,,,,,74623632.0,ns,13
reessa_entity_trainticket,,,,,82708890.0,ns,13
reessa_entity_trainticket,,,,,100419277.0,ns,13
reessa_entity_trainticket,,,,,77480108.0,ns,13
reessa_entity_trainticket,,,,,79764298.0,ns,13
reessa_entity_trainticket,,,,,87539849.0,ns,13
reessa_entity_trainticket,,,,,71890624.0,ns,13
reessa_entity_trainticket,,,,,64991111.0,ns,13
reessa_entity_trainticket,,,,,58850458.0,ns,13
reessa_entity_trainticket,,,,,63668572.0,ns,13
reessa_entity_trainticket,,,,,55315297.0,ns,13
reessa_entity_trainticket,,,,,55232647.0,ns,13
reessa_entity_trainticket,,,,,56647004.0,ns,13
reessa_entity_trainticket,,,,,61023031.0,ns,13
reessa_entity_trainticket,,,,,50166520.0,ns,13
reessa_entity_trainticket,,,,,46884942.0,ns,13
reessa_entity_trainticket,,,,,45421824.0,ns,13
reessa_entity_trainticket,,,,,47535234.0,ns,13
reessa_entity_trainticket,,,,,42081497.0,ns,13
reessa_entity_trainticket,,,,,44051736.0,ns,13
reessa_entity_trainticket,,,,,71005649.0,ns,13
reessa_entity_trainticket,,,,,89237726.0,ns,13
reessa_entity_trainticket,,,,,59810170.0,ns,13
reessa_entity_trainticket,,,,,68158489.0,ns,13
reessa_entity_trainticket,,,,,62256175.0,ns,13
reessa_entity_trainticket,,,,,53031971.0,ns,13
reessa_entity_trainticket,,,,,64260533.0,ns,13
reessa_entity_trainticket,,,,,58613922.0,ns,13
reessa_entity_trainticket,,,,,56334320.0,ns,13
reessa_entity_trainticket,,,,,63652679.0,ns,13
reessa_entity_trainticket,,,,,59667514.0,ns,13
reessa_entity_trainticket,,,,,58425104.0,ns,13
reessa_entity_trainticket,,,,,50112613.0,ns,13
reessa_entity_trainticket,,,,,48627105.0,ns,13
reessa_entity_trainticket,,,,,76116925.0,ns,13
reessa_entity_trainticket,,,,,68882208.0,ns,13
reessa_entity_trainticket,,,,,54002909.0,ns,13
reessa_entity_trainticket,,,,,57628104.0,ns,13
reessa_entity_trainticket,,,,,61467365.0,ns,13
reessa_entity_trainticket,,,,,50630445.0,ns,13
reessa_entity_trainticket,,,,,50977393.0,ns,13
reessa_entity_trainticket,,,,,47237926.0,ns,13
reessa_entity_trainticket,,,,,45275887.0,ns,13
reessa_entity_trainticket,,,,,43191932.0,ns,13
reessa_entity_trainticket,,,,,48553998.0,ns,13
reessa_entity_trainticket,,,,,73733178.0,ns,13
reessa_entity_trainticket,,,,,84567588.0,ns,13
reessa_entity_trainticket,,,,,56241845.0,ns,13
reessa_entity_trainticket,,,,,60918960.0,ns,13
reessa_entity_trainticket,,,,,61424133.0,ns,13
reessa_entity_trainticket,,,,,60969833.0,ns,13
reessa_entity_trainticket,,,,,56475052.0,ns,13
reessa_entity_trainticket,,,,,56618725.0,ns,13
reessa_entity_trainticket,,,,,47084741.0,ns,13
reessa_entity_trainticket,,,,,44683003.0,ns,13
reessa_entity_trainticket,,,,,43623867.0,ns,13
reessa_entity_trainticket,,,,,47798643.0,ns,13
reessa_entity_trainticket,,,,,59728471.0,ns,13
reessa_entity_trainticket,,,,,58225284.0,ns,13
reessa_entity_trainticket,,,,,81208734.0,ns,13
reessa_entity_trainticket,,,,,92166616.0,ns,13
reessa_entity_trainticket,,,,,47165009.0,ns,13
reessa_entity_trainticket,,,,,45936862.0,ns,13
reessa_entity_trainticket,,,,,43417774.0,ns,13
