group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ressa_endpoint_deathstarbench_call_graph,,,,,75033172.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,78087867.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74299972.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74911128.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74785108.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,75595487.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74283080.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74339042.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74892633.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,84855883.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,75134830.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,75155503.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74439023.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,77647975.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,75492815.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,76812315.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,78181792.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,79365904.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,78811879.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,81123716.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,82785236.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,78968315.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,77347858.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74205291.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,75282524.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74301240.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74258345.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,76164584.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,75193829.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74797633.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74667657.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,76084929.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74591858.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74834033.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74398377.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,73839198.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,73970117.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74707778.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,73703474.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74782989.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74974227.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,77005176.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74681054.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74917968.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,75668373.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,75111660.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74077632.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74894395.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74260994.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74179756.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74203550.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74206342.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74590990.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74765756.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,77071631.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,75283254.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74497851.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,75830995.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,75052547.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74450382.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74809149.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74277290.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74204688.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74247087.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74440145.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,73733869.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74403812.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,75561101.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,75478020.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,75008858.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74620054.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,75505777.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74355942.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74303660.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74841481.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74568510.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,73835320.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,77477501.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,75344229.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,77166801.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,75505882.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,76989233.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74500673.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74865435.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,75287954.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74837200.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,73924440.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74769721.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,73761197.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74209360.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74511381.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74755981.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74346847.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74564290.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,76800271.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74789145.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,74979731.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,76072972.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,75422934.0,ns,1
ressa_endpoint_deathstarbench_call_graph,,,,,73965587.0,ns,1
