group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ressa_endpoint_deathstarbench_call_graph_mem,,,,,107225267.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,77756274.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,76649450.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,111936910.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,113636481.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,112236171.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,90027492.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,76715252.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,76926948.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,76658122.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,79140805.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,82562410.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,78143624.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,78484019.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,79067484.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,78485871.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,77689801.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,76691776.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,76141838.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,76638730.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,80783892.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,78450239.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,94268679.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,77254239.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,79284394.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,86554200.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,78162753.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,77426073.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,87472671.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,83747116.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,78088590.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,77851265.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,76024859.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,81689145.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,77591062.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,78366703.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,78721386.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,78420052.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,76206656.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,79451355.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,77869630.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,78246825.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,80816877.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,83095189.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,76912463.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,76876285.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,76897075.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,83274428.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,81992592.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,87249769.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,77184339.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,77115735.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,75743072.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,91180060.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,84908737.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,92258268.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,79698094.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,89914174.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,80993974.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,77723374.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,78546885.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,76892921.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,79476067.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,79689011.0,ns,1
