group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ressa_endpoint_deathstarbench_call_graph_mem,,,,,131763517.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,121052201.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,117774416.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,119148906.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,137342248.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,151174418.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,118359920.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,109253405.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,112924060.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,112688473.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,114333617.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,118184497.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,129106248.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,129660277.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,124688483.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,121321395.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,119737654.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,160003936.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,121824143.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,121548449.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,115712722.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,113339981.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,117094493.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,110268588.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,112918772.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,109154530.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,114348162.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,113766230.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,109741509.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,118688674.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,105334961.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,101142407.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,105440460.0,ns,1
ressa_endpoint_deathstarbench_call_graph_mem,,,,,101818490.0,ns,1
