group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ressa_endpoint_deathstarbench_simple,,,,,49456296.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,74791252.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,76024442.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,44552404.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,42972969.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,49181905.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,68290154.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,50563378.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,52260607.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,85677129.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,74761527.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,78538220.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,101735142.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,91112468.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,128886891.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,93890981.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,68030446.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,44217483.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,42053320.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,44225326.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,41207889.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,41180336.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,41730345.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,41881078.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,41039844.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,41306034.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,41447161.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,41907460.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,41730908.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,40078843.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,45483326.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,40421313.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,43615470.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,44588846.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,46136288.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,41612721.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,41959219.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,43878738.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,47452548.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,43701603.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,41204502.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,40193316.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,41600728.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,48611686.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,41732367.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,44389469.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,40889967.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,41421398.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,41314390.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,41770971.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,41242084.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,41425934.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,41541981.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,41041919.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,40250368.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,40186227.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,41385242.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,41693505.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,42609867.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,40991484.0,ns,5
ressa_endpoint_deathstarbench_simple,,,,,40891812.0,ns,5
