group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ressa_endpoint_trainticket,,,,,3563473646.0,ns,1
ressa_endpoint_trainticket,,,,,2398899974.0,ns,1
ressa_endpoint_trainticket,,,,,2376487999.0,ns,1
ressa_endpoint_trainticket,,,,,2447063684.0,ns,1
ressa_endpoint_trainticket,,,,,3532823408.0,ns,1
ressa_endpoint_trainticket,,,,,2438374542.0,ns,1
ressa_endpoint_trainticket,,,,,2479623542.0,ns,1
ressa_endpoint_trainticket,,,,,2432979631.0,ns,1
ressa_endpoint_trainticket,,,,,2423314938.0,ns,1
ressa_endpoint_trainticket,,,,,2414234248.0,ns,1
ressa_endpoint_trainticket,,,,,2418403159.0,ns,1
ressa_endpoint_trainticket,,,,,3168960415.0,ns,1
ressa_endpoint_trainticket,,,,,3364966372.0,ns,1
ressa_endpoint_trainticket,,,,,3043630890.0,ns,1
ressa_endpoint_trainticket,,,,,3765604571.0,ns,1
ressa_endpoint_trainticket,,,,,3560591148.0,ns,1
ressa_endpoint_trainticket,,,,,2589102875.0,ns,1
ressa_endpoint_trainticket,,,,,2380525580.0,ns,1
ressa_endpoint_trainticket,,,,,2569770363.0,ns,1
ressa_endpoint_trainticket,,,,,2875197225.0,ns,1
ressa_endpoint_trainticket,,,,,3800228605.0,ns,1
ressa_endpoint_trainticket,,,,,2412048616.0,ns,1
ressa_endpoint_trainticket,,,,,2399542250.0,ns,1
ressa_endpoint_trainticket,,,,,2403876261.0,ns,1
ressa_endpoint_trainticket,,,,,2396228760.0,ns,1
ressa_endpoint_trainticket,,,,,3471205550.0,ns,1
ressa_endpoint_trainticket,,,,,2592330697.0,ns,1
ressa_endpoint_trainticket,,,,,3228737426.0,ns,1
ressa_endpoint_trainticket,,,,,3457217332.0,ns,1
ressa_endpoint_trainticket,,,,,3266394352.0,ns,1
ressa_endpoint_trainticket,,,,,2748977201.0,ns,1
ressa_endpoint_trainticket,,,,,2723327211.0,ns,1
ressa_endpoint_trainticket,,,,,2340207514.0,ns,1
ressa_endpoint_trainticket,,,,,2337347650.0,ns,1
ressa_endpoint_trainticket,,,,,2354851911.0,ns,1
ressa_endpoint_trainticket,,,,,2354729380.0,ns,1
ressa_endpoint_trainticket,,,,,2340059181.0,ns,1
ressa_endpoint_trainticket,,,,,4284061854.0,ns,1
ressa_endpoint_trainticket,,,,,2373068420.0,ns,1
ressa_endpoint_trainticket,,,,,3290698731.0,ns,1
ressa_endpoint_trainticket,,,,,3492464951.0,ns,1
ressa_endpoint_trainticket,,,,,2669212817.0,ns,1
ressa_endpoint_trainticket,,,,,4495828454.0,ns,1
ressa_endpoint_trainticket,,,,,2482970289.0,ns,1
ressa_endpoint_trainticket,,,,,2868762730.0,ns,1
ressa_endpoint_trainticket,,,,,3032441885.0,ns,1
ressa_endpoint_trainticket,,,,,3081284774.0,ns,1
ressa_endpoint_trainticket,,,,,2334509255.0,ns,1
ressa_endpoint_trainticket,,,,,2396000444.0,ns,1
ressa_endpoint_trainticket,,,,,3179558692.0,ns,1
ressa_endpoint_trainticket,,,,,2800085933.0,ns,1
ressa_endpoint_trainticket,,,,,2486706066.0,ns,1
ressa_endpoint_trainticket,,,,,2448943833.0,ns,1
ressa_endpoint_trainticket,,,,,2439936563.0,ns,1
