group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ressa_endpoint_trainticket,,,,,2778626690.0,ns,1
ressa_endpoint_trainticket,,,,,4482254922.0,ns,1
ressa_endpoint_trainticket,,,,,3303411173.0,ns,1
ressa_endpoint_trainticket,,,,,2936795774.0,ns,1
ressa_endpoint_trainticket,,,,,2876752309.0,ns,1
ressa_endpoint_trainticket,,,,,2886863288.0,ns,1
ressa_endpoint_trainticket,,,,,2887126508.0,ns,1
ressa_endpoint_trainticket,,,,,2900379296.0,ns,1
ressa_endpoint_trainticket,,,,,2888355430.0,ns,1
ressa_endpoint_trainticket,,,,,3063408760.0,ns,1
ressa_endpoint_trainticket,,,,,2880212189.0,ns,1
ressa_endpoint_trainticket,,,,,3008969865.0,ns,1
ressa_endpoint_trainticket,,,,,3770674520.0,ns,1
ressa_endpoint_trainticket,,,,,2908312566.0,ns,1
ressa_endpoint_trainticket,,,,,3141589304.0,ns,1
ressa_endpoint_trainticket,,,,,3242389169.0,ns,1
ressa_endpoint_trainticket,,,,,3093263351.0,ns,1
ressa_endpoint_trainticket,,,,,2871267647.0,ns,1
ressa_endpoint_trainticket,,,,,2856827191.0,ns,1
ressa_endpoint_trainticket,,,,,3238175614.0,ns,1
ressa_endpoint_trainticket,,,,,3250610066.0,ns,1
ressa_endpoint_trainticket,,,,,3213077086.0,ns,1
ressa_endpoint_trainticket,,,,,3240982817.0,ns,1
ressa_endpoint_trainticket,,,,,3188428364.0,ns,1
ressa_endpoint_trainticket,,,,,2859299558.0,ns,1
ressa_endpoint_trainticket,,,,,2984252588.0,ns,1
ressa_endpoint_trainticket,,,,,2862033212.0,ns,1
ressa_endpoint_trainticket,,,,,2848566650.0,ns,1
ressa_endpoint_trainticket,,,,,3035649783.0,ns,1
ressa_endpoint_trainticket,,,,,3931445501.0,ns,1
ressa_endpoint_trainticket,,,,,2982610365.0,ns,1
ressa_endpoint_trainticket,,,,,2857883609.0,ns,1
ressa_endpoint_trainticket,,,,,2887533130.0,ns,1
ressa_endpoint_trainticket,,,,,2829268448.0,ns,1
ressa_endpoint_trainticket,,,,,2841030180.0,ns,1
ressa_endpoint_trainticket,,,,,2822026570.0,ns,1
ressa_endpoint_trainticket,,,,,2861323126.0,ns,1
ressa_endpoint_trainticket,,,,,2916748150.0,ns,1
ressa_endpoint_trainticket,,,,,2856949140.0,ns,1
ressa_endpoint_trainticket,,,,,3150254279.0,ns,1
ressa_endpoint_trainticket,,,,,2928180795.0,ns,1
ressa_endpoint_trainticket,,,,,4360170561.0,ns,1
ressa_endpoint_trainticket,,,,,2900243190.0,ns,1
ressa_endpoint_trainticket,,,,,2965127186.0,ns,1
ressa_endpoint_trainticket,,,,,2903585922.0,ns,1
ressa_endpoint_trainticket,,,,,2916610606.0,ns,1
ressa_endpoint_trainticket,,,,,3069302447.0,ns,1
ressa_endpoint_trainticket,,,,,3008038181.0,ns,1
ressa_endpoint_trainticket,,,,,2933238951.0,ns,1
ressa_endpoint_trainticket,,,,,2934917866.0,ns,1
ressa_endpoint_trainticket,,,,,2890596794.0,ns,1
ressa_endpoint_trainticket,,,,,2928720000.0,ns,1
ressa_endpoint_trainticket,,,,,2902727772.0,ns,1
ressa_endpoint_trainticket,,,,,2909557737.0,ns,1
ressa_endpoint_trainticket,,,,,2901084196.0,ns,1
ressa_endpoint_trainticket,,,,,2924891620.0,ns,1
ressa_endpoint_trainticket,,,,,2956801053.0,ns,1
ressa_endpoint_trainticket,,,,,2915589966.0,ns,1
ressa_endpoint_trainticket,,,,,2917502423.0,ns,1
ressa_endpoint_trainticket,,,,,2907763973.0,ns,1
ressa_endpoint_trainticket,,,,,2897765829.0,ns,1
ressa_endpoint_trainticket,,,,,2933855888.0,ns,1
ressa_endpoint_trainticket,,,,,2940172169.0,ns,1
ressa_endpoint_trainticket,,,,,2939711716.0,ns,1
ressa_endpoint_trainticket,,,,,2930820989.0,ns,1
ressa_endpoint_trainticket,,,,,2923069794.0,ns,1
ressa_endpoint_trainticket,,,,,3021705905.0,ns,1
ressa_endpoint_trainticket,,,,,2921070371.0,ns,1
ressa_endpoint_trainticket,,,,,2879151001.0,ns,1
ressa_endpoint_trainticket,,,,,2925416769.0,ns,1
ressa_endpoint_trainticket,,,,,2901740389.0,ns,1
ressa_endpoint_trainticket,,,,,2899013692.0,ns,1
ressa_endpoint_trainticket,,,,,3010778326.0,ns,1
ressa_endpoint_trainticket,,,,,2904452944.0,ns,1
ressa_endpoint_trainticket,,,,,2923297930.0,ns,1
ressa_endpoint_trainticket,,,,,2884584747.0,ns,1
ressa_endpoint_trainticket,,,,,2942386777.0,ns,1
ressa_endpoint_trainticket,,,,,2873562673.0,ns,1
ressa_endpoint_trainticket,,,,,3389542657.0,ns,1
ressa_endpoint_trainticket,,,,,2872266303.0,ns,1
ressa_endpoint_trainticket,,,,,2907342304.0,ns,1
ressa_endpoint_trainticket,,,,,2899445239.0,ns,1
ressa_endpoint_trainticket,,,,,2958397456.0,ns,1
ressa_endpoint_trainticket,,,,,2903888714.0,ns,1
ressa_endpoint_trainticket,,,,,2886303818.0,ns,1
ressa_endpoint_trainticket,,,,,2972574894.0,ns,1
ressa_endpoint_trainticket,,,,,2848673836.0,ns,1
ressa_endpoint_trainticket,,,,,2866137124.0,ns,1
ressa_endpoint_trainticket,,,,,3007322792.0,ns,1
ressa_endpoint_trainticket,,,,,3002003323.0,ns,1
ressa_endpoint_trainticket,,,,,2968454789.0,ns,1
ressa_endpoint_trainticket,,,,,2938080775.0,ns,1
ressa_endpoint_trainticket,,,,,2985074763.0,ns,1
ressa_endpoint_trainticket,,,,,3148739833.0,ns,1
ressa_endpoint_trainticket,,,,,3759853542.0,ns,1
ressa_endpoint_trainticket,,,,,2871433976.0,ns,1
ressa_endpoint_trainticket,,,,,3982996608.0,ns,1
ressa_endpoint_trainticket,,,,,3022391285.0,ns,1
ressa_endpoint_trainticket,,,,,3155936338.0,ns,1
ressa_endpoint_trainticket,,,,,3073749974.0,ns,1
