group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ressa_entity_deathstarbench,,,,,185778448.0,ns,1
ressa_entity_deathstarbench,,,,,179204498.0,ns,1
ressa_entity_deathstarbench,,,,,176567161.0,ns,1
ressa_entity_deathstarbench,,,,,236931320.0,ns,1
ressa_entity_deathstarbench,,,,,288602350.0,ns,1
ressa_entity_deathstarbench,,,,,226226740.0,ns,1
ressa_entity_deathstarbench,,,,,183483480.0,ns,1
ressa_entity_deathstarbench,,,,,182876602.0,ns,1
ressa_entity_deathstarbench,,,,,218692445.0,ns,1
ressa_entity_deathstarbench,,,,,297389893.0,ns,1
ressa_entity_deathstarbench,,,,,346863002.0,ns,1
ressa_entity_deathstarbench,,,,,313294534.0,ns,1
ressa_entity_deathstarbench,,,,,263634109.0,ns,1
ressa_entity_deathstarbench,,,,,263122823.0,ns,1
ressa_entity_deathstarbench,,,,,183337380.0,ns,1
ressa_entity_deathstarbench,,,,,194418608.0,ns,1
ressa_entity_deathstarbench,,,,,195218588.0,ns,1
ressa_entity_deathstarbench,,,,,221774572.0,ns,1
ressa_entity_deathstarbench,,,,,194428672.0,ns,1
ressa_entity_deathstarbench,,,,,170865037.0,ns,1
ressa_entity_deathstarbench,,,,,170425146.0,ns,1
ressa_entity_deathstarbench,,,,,170386847.0,ns,1
ressa_entity_deathstarbench,,,,,193053615.0,ns,1
ressa_entity_deathstarbench,,,,,222359272.0,ns,1
ressa_entity_deathstarbench,,,,,194835881.0,ns,1
ressa_entity_deathstarbench,,,,,173545982.0,ns,1
ressa_entity_deathstarbench,,,,,190748858.0,ns,1
ressa_entity_deathstarbench,,,,,228270722.0,ns,1
ressa_entity_deathstarbench,,,,,184924491.0,ns,1
ressa_entity_deathstarbench,,,,,172222948.0,ns,1
ressa_entity_deathstarbench,,,,,197936795.0,ns,1
ressa_entity_deathstarbench,,,,,211606410.0,ns,1
ressa_entity_deathstarbench,,,,,240667487.0,ns,1
ressa_entity_deathstarbench,,,,,213277125.0,ns,1
ressa_entity_deathstarbench,,,,,172792776.0,ns,1
ressa_entity_deathstarbench,,,,,171207096.0,ns,1
ressa_entity_deathstarbench,,,,,193439883.0,ns,1
ressa_entity_deathstarbench,,,,,257722176.0,ns,1
ressa_entity_deathstarbench,,,,,277163176.0,ns,1
ressa_entity_deathstarbench,,,,,272240032.0,ns,1
ressa_entity_deathstarbench,,,,,187602646.0,ns,1
ressa_entity_deathstarbench,,,,,170804910.0,ns,1
ressa_entity_deathstarbench,,,,,181242689.0,ns,1
ressa_entity_deathstarbench,,,,,217570577.0,ns,1
ressa_entity_deathstarbench,,,,,222262752.0,ns,1
ressa_entity_deathstarbench,,,,,178083222.0,ns,1
ressa_entity_deathstarbench,,,,,171295255.0,ns,1
ressa_entity_deathstarbench,,,,,223870326.0,ns,1
ressa_entity_deathstarbench,,,,,307577153.0,ns,1
ressa_entity_deathstarbench,,,,,368574979.0,ns,1
ressa_entity_deathstarbench,,,,,338942704.0,ns,1
ressa_entity_deathstarbench,,,,,228466825.0,ns,1
ressa_entity_deathstarbench,,,,,245163569.0,ns,1
ressa_entity_deathstarbench,,,,,186538672.0,ns,1
ressa_entity_deathstarbench,,,,,229973910.0,ns,1
ressa_entity_deathstarbench,,,,,197865293.0,ns,1
ressa_entity_deathstarbench,,,,,208562677.0,ns,1
ressa_entity_deathstarbench,,,,,225050600.0,ns,1
ressa_entity_deathstarbench,,,,,187499376.0,ns,1
ressa_entity_deathstarbench,,,,,196505866.0,ns,1
ressa_entity_deathstarbench,,,,,216094707.0,ns,1
ressa_entity_deathstarbench,,,,,210566975.0,ns,1
ressa_entity_deathstarbench,,,,,176296443.0,ns,1
ressa_entity_deathstarbench,,,,,171493079.0,ns,1
ressa_entity_deathstarbench,,,,,170675298.0,ns,1
ressa_entity_deathstarbench,,,,,169990230.0,ns,1
ressa_entity_deathstarbench,,,,,170358154.0,ns,1
ressa_entity_deathstarbench,,,,,171835557.0,ns,1
ressa_entity_deathstarbench,,,,,170385136.0,ns,1
ressa_entity_deathstarbench,,,,,169690248.0,ns,1
ressa_entity_deathstarbench,,,,,170668685.0,ns,1
ressa_entity_deathstarbench,,,,,169669847.0,ns,1
ressa_entity_deathstarbench,,,,,169371110.0,ns,1
ressa_entity_deathstarbench,,,,,169935013.0,ns,1
ressa_entity_deathstarbench,,,,,179936028.0,ns,1
ressa_entity_deathstarbench,,,,,174517317.0,ns,1
ressa_entity_deathstarbench,,,,,173988750.0,ns,1
ressa_entity_deathstarbench,,,,,189587922.0,ns,1
ressa_entity_deathstarbench,,,,,174713025.0,ns,1
ressa_entity_deathstarbench,,,,,173261532.0,ns,1
ressa_entity_deathstarbench,,,,,173363301.0,ns,1
ressa_entity_deathstarbench,,,,,182856655.0,ns,1
ressa_entity_deathstarbench,,,,,175934016.0,ns,1
ressa_entity_deathstarbench,,,,,172834116.0,ns,1
ressa_entity_deathstarbench,,,,,173965932.0,ns,1
ressa_entity_deathstarbench,,,,,173545547.0,ns,1
ressa_entity_deathstarbench,,,,,174632588.0,ns,1
ressa_entity_deathstarbench,,,,,178037279.0,ns,1
ressa_entity_deathstarbench,,,,,173757148.0,ns,1
ressa_entity_deathstarbench,,,,,172633518.0,ns,1
ressa_entity_deathstarbench,,,,,173253848.0,ns,1
ressa_entity_deathstarbench,,,,,192567367.0,ns,1
ressa_entity_deathstarbench,,,,,202890657.0,ns,1
ressa_entity_deathstarbench,,,,,193756444.0,ns,1
ressa_entity_deathstarbench,,,,,200033573.0,ns,1
ressa_entity_deathstarbench,,,,,187757680.0,ns,1
ressa_entity_deathstarbench,,,,,206169557.0,ns,1
ressa_entity_deathstarbench,,,,,189314467.0,ns,1
ressa_entity_deathstarbench,,,,,206444007.0,ns,1
ressa_entity_deathstarbench,,,,,180766767.0,ns,1
