group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ressa_entity_trainticket,,,,,43318185.0,ns,17
ressa_entity_trainticket,,,,,73929997.0,ns,17
ressa_entity_trainticket,,,,,82567492.0,ns,17
ressa_entity_trainticket,,,,,37379494.0,ns,17
ressa_entity_trainticket,,,,,38778493.0,ns,17
ressa_entity_trainticket,,,,,36228987.0,ns,17
ressa_entity_trainticket,,,,,37715469.0,ns,17
ressa_entity_trainticket,,,,,38323563.0,ns,17
ressa_entity_trainticket,,,,,37211908.0,ns,17
ressa_entity_trainticket,,,,,46489240.0,ns,17
ressa_entity_trainticket,,,,,40699967.0,ns,17
ressa_entity_trainticket,,,,,72214015.0,ns,17
ressa_entity_trainticket,,,,,106973450.0,ns,17
ressa_entity_trainticket,,,,,112382145.0,ns,17
ressa_entity_trainticket,,,,,131280345.0,ns,17
ressa_entity_trainticket,,,,,123456766.0,ns,17
ressa_entity_trainticket,,,,,124265277.0,ns,17
ressa_entity_trainticket,,,,,159747170.0,ns,17
ressa_entity_trainticket,,,,,106132422.0,ns,17
ressa_entity_trainticket,,,,,114403462.0,ns,17
ressa_entity_trainticket,,,,,137513723.0,ns,17
ressa_entity_trainticket,,,,,63113440.0,ns,17
ressa_entity_trainticket,,,,,39162930.0,ns,17
ressa_entity_trainticket,,,,,37039574.0,ns,17
ressa_entity_trainticket,,,,,36718187.0,ns,17
ressa_entity_trainticket,,,,,48314805.0,ns,17
ressa_entity_trainticket,,,,,98857185.0,ns,17
ressa_entity_trainticket,,,,,46160442.0,ns,17
ressa_entity_trainticket,,,,,53419227.0,ns,17
ressa_entity_trainticket,,,,,46445268.0,ns,17
ressa_entity_trainticket,,,,,36971142.0,ns,17
ressa_entity_trainticket,,,,,36546766.0,ns,17
ressa_entity_trainticket,,,,,38166504.0,ns,17
ressa_entity_trainticket,,,,,35479784.0,ns,17
ressa_entity_trainticket,,,,,37572743.0,ns,17
ressa_entity_trainticket,,,,,37351149.0,ns,17
ressa_entity_trainticket,,,,,35865903.0,ns,17
ressa_entity_trainticket,,,,,39078062.0,ns,17
ressa_entity_trainticket,,,,,43189199.0,ns,17
ressa_entity_trainticket,,,,,40176268.0,ns,17
ressa_entity_trainticket,,,,,40573738.0,ns,17
ressa_entity_trainticket,,,,,38359369.0,ns,17
ressa_entity_trainticket,,,,,36172096.0,ns,17
ressa_entity_trainticket,,,,,38790453.0,ns,17
ressa_entity_trainticket,,,,,35721382.0,ns,17
ressa_entity_trainticket,,,,,38299364.0,ns,17
ressa_entity_trainticket,,,,,38056601.0,ns,17
ressa_entity_trainticket,,,,,35858525.0,ns,17
ressa_entity_trainticket,,,,,38405126.0,ns,17
ressa_entity_trainticket,,,,,37194599.0,ns,17
ressa_entity_trainticket,,,,,36577560.0,ns,17
ressa_entity_trainticket,,,,,38228139.0,ns,17
ressa_entity_trainticket,,,,,35549373.0,ns,17
ressa_entity_trainticket,,,,,38750423.0,ns,17
ressa_entity_trainticket,,,,,36696148.0,ns,17
ressa_entity_trainticket,,,,,36602667.0,ns,17
ressa_entity_trainticket,,,,,38296533.0,ns,17
ressa_entity_trainticket,,,,,35806715.0,ns,17
ressa_entity_trainticket,,,,,38228088.0,ns,17
ressa_entity_trainticket,,,,,38208374.0,ns,17
ressa_entity_trainticket,,,,,35675479.0,ns,17
ressa_entity_trainticket,,,,,39370595.0,ns,17
ressa_entity_trainticket,,,,,35794559.0,ns,17
ressa_entity_trainticket,,,,,38505124.0,ns,17
ressa_entity_trainticket,,,,,39830563.0,ns,17
ressa_entity_trainticket,,,,,37839472.0,ns,17
ressa_entity_trainticket,,,,,39125208.0,ns,17
ressa_entity_trainticket,,,,,40440893.0,ns,17
ressa_entity_trainticket,,,,,38953135.0,ns,17
ressa_entity_trainticket,,,,,39642984.0,ns,17
ressa_entity_trainticket,,,,,40969309.0,ns,17
ressa_entity_trainticket,,,,,36766848.0,ns,17
ressa_entity_trainticket,,,,,39586432.0,ns,17
ressa_entity_trainticket,,,,,39880733.0,ns,17
ressa_entity_trainticket,,,,,37965784.0,ns,17
ressa_entity_trainticket,,,,,40793278.0,ns,17
ressa_entity_trainticket,,,,,38338653.0,ns,17
ressa_entity_trainticket,,,,,38815383.0,ns,17
ressa_entity_trainticket,,,,,39375939.0,ns,17
ressa_entity_trainticket,,,,,36113055.0,ns,17
ressa_entity_trainticket,,,,,37822513.0,ns,17
ressa_entity_trainticket,,,,,38279385.0,ns,17
ressa_entity_trainticket,,,,,35197759.0,ns,17
ressa_entity_trainticket,,,,,38128422.0,ns,17
ressa_entity_trainticket,,,,,36004292.0,ns,17
ressa_entity_trainticket,,,,,37520504.0,ns,17
ressa_entity_trainticket,,,,,38310682.0,ns,17
ressa_entity_trainticket,,,,,35849812.0,ns,17
ressa_entity_trainticket,,,,,38415418.0,ns,17
ressa_entity_trainticket,,,,,37485405.0,ns,17
ressa_entity_trainticket,,,,,35675856.0,ns,17
ressa_entity_trainticket,,,,,38615933.0,ns,17
ressa_entity_trainticket,,,,,35281067.0,ns,17
ressa_entity_trainticket,,,,,38040507.0,ns,17
ressa_entity_trainticket,,,,,38304302.0,ns,17
ressa_entity_trainticket,,,,,35220403.0,ns,17
ressa_entity_trainticket,,,,,38081912.0,ns,17
ressa_entity_trainticket,,,,,36030307.0,ns,17
ressa_entity_trainticket,,,,,37244554.0,ns,17
ressa_entity_trainticket,,,,,39083207.0,ns,17
