group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ressa_entity_trainticket,,,,,388462203.0,ns,1
ressa_entity_trainticket,,,,,487152669.0,ns,1
ressa_entity_trainticket,,,,,281360882.0,ns,1
ressa_entity_trainticket,,,,,278165887.0,ns,1
ressa_entity_trainticket,,,,,306014174.0,ns,1
ressa_entity_trainticket,,,,,344565199.0,ns,1
ressa_entity_trainticket,,,,,460541742.0,ns,1
ressa_entity_trainticket,,,,,402207761.0,ns,1
ressa_entity_trainticket,,,,,271855270.0,ns,1
ressa_entity_trainticket,,,,,475872372.0,ns,1
ressa_entity_trainticket,,,,,406842886.0,ns,1
ressa_entity_trainticket,,,,,392995656.0,ns,1
ressa_entity_trainticket,,,,,548702677.0,ns,1
ressa_entity_trainticket,,,,,312199063.0,ns,1
ressa_entity_trainticket,,,,,284545146.0,ns,1
ressa_entity_trainticket,,,,,298124979.0,ns,1
ressa_entity_trainticket,,,,,338094215.0,ns,1
ressa_entity_trainticket,,,,,428939032.0,ns,1
ressa_entity_trainticket,,,,,582549486.0,ns,1
ressa_entity_trainticket,,,,,349820948.0,ns,1
ressa_entity_trainticket,,,,,357779423.0,ns,1
ressa_entity_trainticket,,,,,500925815.0,ns,1
ressa_entity_trainticket,,,,,278815016.0,ns,1
ressa_entity_trainticket,,,,,415656583.0,ns,1
ressa_entity_trainticket,,,,,289265563.0,ns,1
ressa_entity_trainticket,,,,,276604822.0,ns,1
ressa_entity_trainticket,,,,,279330762.0,ns,1
ressa_entity_trainticket,,,,,286140411.0,ns,1
ressa_entity_trainticket,,,,,296284927.0,ns,1
ressa_entity_trainticket,,,,,385122262.0,ns,1
ressa_entity_trainticket,,,,,286683374.0,ns,1
ressa_entity_trainticket,,,,,273515315.0,ns,1
ressa_entity_trainticket,,,,,298130557.0,ns,1
ressa_entity_trainticket,,,,,291127135.0,ns,1
ressa_entity_trainticket,,,,,356673602.0,ns,1
ressa_entity_trainticket,,,,,300951131.0,ns,1
ressa_entity_trainticket,,,,,374089342.0,ns,1
ressa_entity_trainticket,,,,,290157268.0,ns,1
ressa_entity_trainticket,,,,,289581273.0,ns,1
ressa_entity_trainticket,,,,,288970449.0,ns,1
ressa_entity_trainticket,,,,,490611737.0,ns,1
ressa_entity_trainticket,,,,,349686292.0,ns,1
ressa_entity_trainticket,,,,,585884277.0,ns,1
ressa_entity_trainticket,,,,,336519266.0,ns,1
ressa_entity_trainticket,,,,,279300451.0,ns,1
ressa_entity_trainticket,,,,,287511867.0,ns,1
ressa_entity_trainticket,,,,,299699169.0,ns,1
ressa_entity_trainticket,,,,,289435602.0,ns,1
ressa_entity_trainticket,,,,,347190035.0,ns,1
ressa_entity_trainticket,,,,,304066046.0,ns,1
ressa_entity_trainticket,,,,,301883067.0,ns,1
ressa_entity_trainticket,,,,,289582457.0,ns,1
ressa_entity_trainticket,,,,,382710983.0,ns,1
ressa_entity_trainticket,,,,,303076357.0,ns,1
ressa_entity_trainticket,,,,,300241499.0,ns,1
ressa_entity_trainticket,,,,,333685946.0,ns,1
ressa_entity_trainticket,,,,,314745727.0,ns,1
ressa_entity_trainticket,,,,,299602220.0,ns,1
ressa_entity_trainticket,,,,,297151285.0,ns,1
ressa_entity_trainticket,,,,,289715297.0,ns,1
ressa_entity_trainticket,,,,,299594304.0,ns,1
ressa_entity_trainticket,,,,,292613531.0,ns,1
ressa_entity_trainticket,,,,,299204749.0,ns,1
ressa_entity_trainticket,,,,,312705271.0,ns,1
ressa_entity_trainticket,,,,,302127556.0,ns,1
ressa_entity_trainticket,,,,,333677259.0,ns,1
ressa_entity_trainticket,,,,,321578516.0,ns,1
ressa_entity_trainticket,,,,,327256699.0,ns,1
ressa_entity_trainticket,,,,,291788859.0,ns,1
ressa_entity_trainticket,,,,,287890843.0,ns,1
ressa_entity_trainticket,,,,,298687198.0,ns,1
ressa_entity_trainticket,,,,,357105767.0,ns,1
ressa_entity_trainticket,,,,,293857322.0,ns,1
ressa_entity_trainticket,,,,,400954497.0,ns,1
ressa_entity_trainticket,,,,,321010432.0,ns,1
ressa_entity_trainticket,,,,,301008975.0,ns,1
ressa_entity_trainticket,,,,,311092117.0,ns,1
ressa_entity_trainticket,,,,,297728522.0,ns,1
ressa_entity_trainticket,,,,,298523943.0,ns,1
ressa_entity_trainticket,,,,,287502429.0,ns,1
ressa_entity_trainticket,,,,,435466264.0,ns,1
ressa_entity_trainticket,,,,,347783524.0,ns,1
ressa_entity_trainticket,,,,,308447543.0,ns,1
ressa_entity_trainticket,,,,,320283303.0,ns,1
ressa_entity_trainticket,,,,,285924324.0,ns,1
ressa_entity_trainticket,,,,,292478754.0,ns,1
ressa_entity_trainticket,,,,,290652902.0,ns,1
ressa_entity_trainticket,,,,,281697457.0,ns,1
ressa_entity_trainticket,,,,,284037468.0,ns,1
ressa_entity_trainticket,,,,,299808820.0,ns,1
ressa_entity_trainticket,,,,,288997860.0,ns,1
ressa_entity_trainticket,,,,,290889856.0,ns,1
ressa_entity_trainticket,,,,,281718392.0,ns,1
ressa_entity_trainticket,,,,,279860373.0,ns,1
ressa_entity_trainticket,,,,,291398657.0,ns,1
ressa_entity_trainticket,,,,,290593468.0,ns,1
ressa_entity_trainticket,,,,,292421311.0,ns,1
ressa_entity_trainticket,,,,,286872884.0,ns,1
ressa_entity_trainticket,,,,,280092765.0,ns,1
ressa_entity_trainticket,,,,,278347128.0,ns,1
