group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
ressa_entity_trainticket_mem,,,,,660221763.0,ns,1
ressa_entity_trainticket_mem,,,,,443289282.0,ns,1
ressa_entity_trainticket_mem,,,,,454099812.0,ns,1
ressa_entity_trainticket_mem,,,,,442075473.0,ns,1
ressa_entity_trainticket_mem,,,,,421128464.0,ns,1
ressa_entity_trainticket_mem,,,,,390987767.0,ns,1
ressa_entity_trainticket_mem,,,,,277654716.0,ns,1
ressa_entity_trainticket_mem,,,,,281799137.0,ns,1
ressa_entity_trainticket_mem,,,,,278893372.0,ns,1
ressa_entity_trainticket_mem,,,,,289488700.0,ns,1
ressa_entity_trainticket_mem,,,,,368902674.0,ns,1
ressa_entity_trainticket_mem,,,,,622020249.0,ns,1
ressa_entity_trainticket_mem,,,,,643688429.0,ns,1
ressa_entity_trainticket_mem,,,,,350309441.0,ns,1
ressa_entity_trainticket_mem,,,,,311213484.0,ns,1
ressa_entity_trainticket_mem,,,,,316518082.0,ns,1
ressa_entity_trainticket_mem,,,,,306891667.0,ns,1
ressa_entity_trainticket_mem,,,,,308535512.0,ns,1
ressa_entity_trainticket_mem,,,,,308566487.0,ns,1
ressa_entity_trainticket_mem,,,,,307752836.0,ns,1
ressa_entity_trainticket_mem,,,,,306679601.0,ns,1
ressa_entity_trainticket_mem,,,,,308929424.0,ns,1
ressa_entity_trainticket_mem,,,,,310730690.0,ns,1
ressa_entity_trainticket_mem,,,,,313192940.0,ns,1
ressa_entity_trainticket_mem,,,,,310909682.0,ns,1
ressa_entity_trainticket_mem,,,,,307516956.0,ns,1
ressa_entity_trainticket_mem,,,,,308264497.0,ns,1
ressa_entity_trainticket_mem,,,,,380863469.0,ns,1
ressa_entity_trainticket_mem,,,,,298861539.0,ns,1
ressa_entity_trainticket_mem,,,,,291534535.0,ns,1
ressa_entity_trainticket_mem,,,,,609173372.0,ns,1
ressa_entity_trainticket_mem,,,,,314778558.0,ns,1
ressa_entity_trainticket_mem,,,,,278571574.0,ns,1
ressa_entity_trainticket_mem,,,,,691587316.0,ns,1
ressa_entity_trainticket_mem,,,,,286956625.0,ns,1
ressa_entity_trainticket_mem,,,,,297521067.0,ns,1
ressa_entity_trainticket_mem,,,,,310348627.0,ns,1
ressa_entity_trainticket_mem,,,,,316406121.0,ns,1
ressa_entity_trainticket_mem,,,,,351012608.0,ns,1
ressa_entity_trainticket_mem,,,,,505314958.0,ns,1
ressa_entity_trainticket_mem,,,,,311353189.0,ns,1
ressa_entity_trainticket_mem,,,,,310318115.0,ns,1
ressa_entity_trainticket_mem,,,,,307930207.0,ns,1
ressa_entity_trainticket_mem,,,,,310113173.0,ns,1
ressa_entity_trainticket_mem,,,,,294369461.0,ns,1
ressa_entity_trainticket_mem,,,,,293623367.0,ns,1
ressa_entity_trainticket_mem,,,,,292423399.0,ns,1
ressa_entity_trainticket_mem,,,,,306511760.0,ns,1
ressa_entity_trainticket_mem,,,,,293121465.0,ns,1
ressa_entity_trainticket_mem,,,,,293257446.0,ns,1
ressa_entity_trainticket_mem,,,,,294419402.0,ns,1
ressa_entity_trainticket_mem,,,,,290250502.0,ns,1
ressa_entity_trainticket_mem,,,,,407520255.0,ns,1
ressa_entity_trainticket_mem,,,,,472449357.0,ns,1
ressa_entity_trainticket_mem,,,,,459916522.0,ns,1
ressa_entity_trainticket_mem,,,,,420991323.0,ns,1
ressa_entity_trainticket_mem,,,,,419871281.0,ns,1
ressa_entity_trainticket_mem,,,,,868996440.0,ns,1
ressa_entity_trainticket_mem,,,,,607724200.0,ns,1
ressa_entity_trainticket_mem,,,,,436181345.0,ns,1
ressa_entity_trainticket_mem,,,,,573021403.0,ns,1
ressa_entity_trainticket_mem,,,,,408757752.0,ns,1
ressa_entity_trainticket_mem,,,,,279125506.0,ns,1
ressa_entity_trainticket_mem,,,,,280495454.0,ns,1
ressa_entity_trainticket_mem,,,,,277507549.0,ns,1
ressa_entity_trainticket_mem,,,,,280889169.0,ns,1
ressa_entity_trainticket_mem,,,,,278861549.0,ns,1
ressa_entity_trainticket_mem,,,,,278583031.0,ns,1
ressa_entity_trainticket_mem,,,,,323293502.0,ns,1
ressa_entity_trainticket_mem,,,,,326876328.0,ns,1
ressa_entity_trainticket_mem,,,,,298050251.0,ns,1
ressa_entity_trainticket_mem,,,,,346380487.0,ns,1
ressa_entity_trainticket_mem,,,,,333014771.0,ns,1
ressa_entity_trainticket_mem,,,,,335188796.0,ns,1
ressa_entity_trainticket_mem,,,,,288198219.0,ns,1
ressa_entity_trainticket_mem,,,,,273855483.0,ns,1
ressa_entity_trainticket_mem,,,,,380233494.0,ns,1
ressa_entity_trainticket_mem,,,,,304227513.0,ns,1
ressa_entity_trainticket_mem,,,,,287936003.0,ns,1
ressa_entity_trainticket_mem,,,,,284531462.0,ns,1
ressa_entity_trainticket_mem,,,,,285010578.0,ns,1
ressa_entity_trainticket_mem,,,,,287985670.0,ns,1
ressa_entity_trainticket_mem,,,,,337722174.0,ns,1
ressa_entity_trainticket_mem,,,,,278248731.0,ns,1
ressa_entity_trainticket_mem,,,,,275737727.0,ns,1
ressa_entity_trainticket_mem,,,,,275299915.0,ns,1
ressa_entity_trainticket_mem,,,,,331370154.0,ns,1
ressa_entity_trainticket_mem,,,,,277515473.0,ns,1
ressa_entity_trainticket_mem,,,,,277201138.0,ns,1
ressa_entity_trainticket_mem,,,,,285521200.0,ns,1
ressa_entity_trainticket_mem,,,,,430090795.0,ns,1
ressa_entity_trainticket_mem,,,,,375296149.0,ns,1
ressa_entity_trainticket_mem,,,,,285257761.0,ns,1
ressa_entity_trainticket_mem,,,,,290012348.0,ns,1
ressa_entity_trainticket_mem,,,,,370652316.0,ns,1
ressa_entity_trainticket_mem,,,,,285998378.0,ns,1
ressa_entity_trainticket_mem,,,,,276990168.0,ns,1
ressa_entity_trainticket_mem,,,,,282435302.0,ns,1
ressa_entity_trainticket_mem,,,,,303815751.0,ns,1
ressa_entity_trainticket_mem,,,,,278137640.0,ns,1
