group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
treesitter_ast_deathstarbench,,,,,194337449.0,ns,1
treesitter_ast_deathstarbench,,,,,153447714.0,ns,1
treesitter_ast_deathstarbench,,,,,155361496.0,ns,1
treesitter_ast_deathstarbench,,,,,177547404.0,ns,1
treesitter_ast_deathstarbench,,,,,171756567.0,ns,1
treesitter_ast_deathstarbench,,,,,158361814.0,ns,1
treesitter_ast_deathstarbench,,,,,156275514.0,ns,1
treesitter_ast_deathstarbench,,,,,178921818.0,ns,1
treesitter_ast_deathstarbench,,,,,153011910.0,ns,1
treesitter_ast_deathstarbench,,,,,157477930.0,ns,1
treesitter_ast_deathstarbench,,,,,152116279.0,ns,1
treesitter_ast_deathstarbench,,,,,153752912.0,ns,1
treesitter_ast_deathstarbench,,,,,150731404.0,ns,1
treesitter_ast_deathstarbench,,,,,154491809.0,ns,1
treesitter_ast_deathstarbench,,,,,150739989.0,ns,1
treesitter_ast_deathstarbench,,,,,150759570.0,ns,1
treesitter_ast_deathstarbench,,,,,150113288.0,ns,1
treesitter_ast_deathstarbench,,,,,159855152.0,ns,1
treesitter_ast_deathstarbench,,,,,149599346.0,ns,1
treesitter_ast_deathstarbench,,,,,151736920.0,ns,1
treesitter_ast_deathstarbench,,,,,156523235.0,ns,1
treesitter_ast_deathstarbench,,,,,157532914.0,ns,1
treesitter_ast_deathstarbench,,,,,157945277.0,ns,1
treesitter_ast_deathstarbench,,,,,156503113.0,ns,1
treesitter_ast_deathstarbench,,,,,162456950.0,ns,1
treesitter_ast_deathstarbench,,,,,216578188.0,ns,1
treesitter_ast_deathstarbench,,,,,197451346.0,ns,1
treesitter_ast_deathstarbench,,,,,160316044.0,ns,1
treesitter_ast_deathstarbench,,,,,156910462.0,ns,1
treesitter_ast_deathstarbench,,,,,159284800.0,ns,1
treesitter_ast_deathstarbench,,,,,161043753.0,ns,1
treesitter_ast_deathstarbench,,,,,157230044.0,ns,1
treesitter_ast_deathstarbench,,,,,157395625.0,ns,1
treesitter_ast_deathstarbench,,,,,157025941.0,ns,1
treesitter_ast_deathstarbench,,,,,157052973.0,ns,1
treesitter_ast_deathstarbench,,,,,158940422.0,ns,1
treesitter_ast_deathstarbench,,,,,160556355.0,ns,1
treesitter_ast_deathstarbench,,,,,152392443.0,ns,1
treesitter_ast_deathstarbench,,,,,152368133.0,ns,1
treesitter_ast_deathstarbench,,,,,151833265.0,ns,1
treesitter_ast_deathstarbench,,,,,155355983.0,ns,1
treesitter_ast_deathstarbench,,,,,154018444.0,ns,1
treesitter_ast_deathstarbench,,,,,156387992.0,ns,1
treesitter_ast_deathstarbench,,,,,151709553.0,ns,1
treesitter_ast_deathstarbench,,,,,156066987.0,ns,1
treesitter_ast_deathstarbench,,,,,151689621.0,ns,1
treesitter_ast_deathstarbench,,,,,151069381.0,ns,1
treesitter_ast_deathstarbench,,,,,151172154.0,ns,1
treesitter_ast_deathstarbench,,,,,158924771.0,ns,1
treesitter_ast_deathstarbench,,,,,155615798.0,ns,1
treesitter_ast_deathstarbench,,,,,150810705.0,ns,1
treesitter_ast_deathstarbench,,,,,151482614.0,ns,1
treesitter_ast_deathstarbench,,,,,156534375.0,ns,1
treesitter_ast_deathstarbench,,,,,151423025.0,ns,1
treesitter_ast_deathstarbench,,,,,150301404.0,ns,1
treesitter_ast_deathstarbench,,,,,156275789.0,ns,1
treesitter_ast_deathstarbench,,,,,162860971.0,ns,1
treesitter_ast_deathstarbench,,,,,159147251.0,ns,1
treesitter_ast_deathstarbench,,,,,153221351.0,ns,1
treesitter_ast_deathstarbench,,,,,155541272.0,ns,1
treesitter_ast_deathstarbench,,,,,151846092.0,ns,1
treesitter_ast_deathstarbench,,,,,158918607.0,ns,1
treesitter_ast_deathstarbench,,,,,156962530.0,ns,1
treesitter_ast_deathstarbench,,,,,151064830.0,ns,1
treesitter_ast_deathstarbench,,,,,217462836.0,ns,1
treesitter_ast_deathstarbench,,,,,185406836.0,ns,1
treesitter_ast_deathstarbench,,,,,151649659.0,ns,1
treesitter_ast_deathstarbench,,,,,165731218.0,ns,1
treesitter_ast_deathstarbench,,,,,161677240.0,ns,1
treesitter_ast_deathstarbench,,,,,210585860.0,ns,1
treesitter_ast_deathstarbench,,,,,164289251.0,ns,1
treesitter_ast_deathstarbench,,,,,158180135.0,ns,1
treesitter_ast_deathstarbench,,,,,157877195.0,ns,1
treesitter_ast_deathstarbench,,,,,164443552.0,ns,1
treesitter_ast_deathstarbench,,,,,153322207.0,ns,1
treesitter_ast_deathstarbench,,,,,152621760.0,ns,1
treesitter_ast_deathstarbench,,,,,159359481.0,ns,1
treesitter_ast_deathstarbench,,,,,162123199.0,ns,1
treesitter_ast_deathstarbench,,,,,156680620.0,ns,1
treesitter_ast_deathstarbench,,,,,164070374.0,ns,1
treesitter_ast_deathstarbench,,,,,166796901.0,ns,1
treesitter_ast_deathstarbench,,,,,152787867.0,ns,1
treesitter_ast_deathstarbench,,,,,163502990.0,ns,1
treesitter_ast_deathstarbench,,,,,153295112.0,ns,1
treesitter_ast_deathstarbench,,,,,151219437.0,ns,1
treesitter_ast_deathstarbench,,,,,151424889.0,ns,1
treesitter_ast_deathstarbench,,,,,163995736.0,ns,1
treesitter_ast_deathstarbench,,,,,158375720.0,ns,1
treesitter_ast_deathstarbench,,,,,156524920.0,ns,1
treesitter_ast_deathstarbench,,,,,154071338.0,ns,1
