group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
treesitter_ast_deathstarbench_mem,,,,,198033532.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,196201426.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,196721947.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,210916954.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,199811993.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,203938300.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,195567247.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,205156034.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,191141313.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,203844862.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,302977152.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,263127173.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,199581428.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,190133091.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,196500464.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,208531770.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,213806696.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,221835479.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,224272642.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,219805790.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,221707712.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,227845735.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,226561018.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,227620612.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,229028857.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,232469769.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,231002600.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,224637060.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,229007586.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,220706905.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,208318937.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,204819310.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,206210353.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,207353556.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,200137989.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,198516038.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,224508972.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,212566837.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,221308582.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,219651915.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,214208222.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,222104993.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,210350553.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,218265995.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,221648887.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,225556852.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,229971008.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,227723415.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,225770013.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,235119544.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,231926006.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,224205671.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,214445506.0,ns,1
