group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
treesitter_ast_deathstarbench_mem,,,,,202625479.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,151949192.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,147838345.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,210304350.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,264462153.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,261076185.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,210905346.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,146638120.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,146656552.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,145934957.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,146226375.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,146341483.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,147819322.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,145859815.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,146332138.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,146626525.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,146391804.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,146819782.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,147147563.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,146909309.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,146361090.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,146413736.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,146488535.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,146504021.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,146840816.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,146621798.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,145886883.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,147461148.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,146300339.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,146267254.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,148931905.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,246369705.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,148043273.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,147913888.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,147017671.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,147002327.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,146833274.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,147983199.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,146836615.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,146581259.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,147174196.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,146961721.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,146770609.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,147173948.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,146271356.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,147381107.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,149408854.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,159764558.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,158734727.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,147745294.0,ns,1
treesitter_ast_deathstarbench_mem,,,,,146452775.0,ns,1
