group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
treesitter_ast_trainticket,,,,,610293475.0,ns,1
treesitter_ast_trainticket,,,,,814461080.0,ns,1
treesitter_ast_trainticket,,,,,505080224.0,ns,1
treesitter_ast_trainticket,,,,,561283484.0,ns,1
treesitter_ast_trainticket,,,,,551747192.0,ns,1
treesitter_ast_trainticket,,,,,445931059.0,ns,1
treesitter_ast_trainticket,,,,,405452040.0,ns,1
treesitter_ast_trainticket,,,,,463267966.0,ns,1
treesitter_ast_trainticket,,,,,413459617.0,ns,1
treesitter_ast_trainticket,,,,,439051597.0,ns,1
treesitter_ast_trainticket,,,,,405437268.0,ns,1
treesitter_ast_trainticket,,,,,463699916.0,ns,1
treesitter_ast_trainticket,,,,,424467547.0,ns,1
treesitter_ast_trainticket,,,,,397145748.0,ns,1
treesitter_ast_trainticket,,,,,399991143.0,ns,1
treesitter_ast_trainticket,,,,,386642997.0,ns,1
treesitter_ast_trainticket,,,,,389922600.0,ns,1
treesitter_ast_trainticket,,,,,389170220.0,ns,1
treesitter_ast_trainticket,,,,,386453286.0,ns,1
treesitter_ast_trainticket,,,,,457695478.0,ns,1
treesitter_ast_trainticket,,,,,475431875.0,ns,1
treesitter_ast_trainticket,,,,,508270874.0,ns,1
treesitter_ast_trainticket,,,,,553580727.0,ns,1
treesitter_ast_trainticket,,,,,603772448.0,ns,1
treesitter_ast_trainticket,,,,,461360638.0,ns,1
treesitter_ast_trainticket,,,,,415032953.0,ns,1
treesitter_ast_trainticket,,,,,398272997.0,ns,1
treesitter_ast_trainticket,,,,,420187455.0,ns,1
treesitter_ast_trainticket,,,,,401580924.0,ns,1
treesitter_ast_trainticket,,,,,485088548.0,ns,1
treesitter_ast_trainticket,,,,,448766443.0,ns,1
treesitter_ast_trainticket,,,,,405276093.0,ns,1
treesitter_ast_trainticket,,,,,411819672.0,ns,1
treesitter_ast_trainticket,,,,,455469186.0,ns,1
treesitter_ast_trainticket,,,,,484150203.0,ns,1
treesitter_ast_trainticket,,,,,469890134.0,ns,1
treesitter_ast_trainticket,,,,,420619805.0,ns,1
treesitter_ast_trainticket,,,,,472828238.0,ns,1
treesitter_ast_trainticket,,,,,423862861.0,ns,1
treesitter_ast_trainticket,,,,,406865965.0,ns,1
treesitter_ast_trainticket,,,,,411245209.0,ns,1
treesitter_ast_trainticket,,,,,464342876.0,ns,1
treesitter_ast_trainticket,,,,,484718508.0,ns,1
treesitter_ast_trainticket,,,,,434582390.0,ns,1
treesitter_ast_trainticket,,,,,392659739.0,ns,1
treesitter_ast_trainticket,,,,,412076874.0,ns,1
treesitter_ast_trainticket,,,,,405379347.0,ns,1
treesitter_ast_trainticket,,,,,397317134.0,ns,1
treesitter_ast_trainticket,,,,,409717023.0,ns,1
treesitter_ast_trainticket,,,,,395316825.0,ns,1
treesitter_ast_trainticket,,,,,401982597.0,ns,1
treesitter_ast_trainticket,,,,,395551492.0,ns,1
treesitter_ast_trainticket,,,,,409515988.0,ns,1
treesitter_ast_trainticket,,,,,414288403.0,ns,1
treesitter_ast_trainticket,,,,,548253587.0,ns,1
treesitter_ast_trainticket,,,,,423812136.0,ns,1
treesitter_ast_trainticket,,,,,395333636.0,ns,1
treesitter_ast_trainticket,,,,,389413536.0,ns,1
treesitter_ast_trainticket,,,,,389789016.0,ns,1
treesitter_ast_trainticket,,,,,393706005.0,ns,1
treesitter_ast_trainticket,,,,,390737044.0,ns,1
treesitter_ast_trainticket,,,,,389624296.0,ns,1
treesitter_ast_trainticket,,,,,389185673.0,ns,1
treesitter_ast_trainticket,,,,,389883289.0,ns,1
treesitter_ast_trainticket,,,,,388628950.0,ns,1
treesitter_ast_trainticket,,,,,452677168.0,ns,1
treesitter_ast_trainticket,,,,,451742073.0,ns,1
treesitter_ast_trainticket,,,,,433082584.0,ns,1
treesitter_ast_trainticket,,,,,497084721.0,ns,1
treesitter_ast_trainticket,,,,,517311714.0,ns,1
treesitter_ast_trainticket,,,,,416650350.0,ns,1
treesitter_ast_trainticket,,,,,408723616.0,ns,1
treesitter_ast_trainticket,,,,,461134080.0,ns,1
treesitter_ast_trainticket,,,,,447801293.0,ns,1
treesitter_ast_trainticket,,,,,449396281.0,ns,1
treesitter_ast_trainticket,,,,,516753393.0,ns,1
treesitter_ast_trainticket,,,,,494229155.0,ns,1
treesitter_ast_trainticket,,,,,728674081.0,ns,1
treesitter_ast_trainticket,,,,,548958951.0,ns,1
treesitter_ast_trainticket,,,,,438299648.0,ns,1
treesitter_ast_trainticket,,,,,503890647.0,ns,1
treesitter_ast_trainticket,,,,,416572060.0,ns,1
treesitter_ast_trainticket,,,,,519933811.0,ns,1
treesitter_ast_trainticket,,,,,566255989.0,ns,1
treesitter_ast_trainticket,,,,,493403932.0,ns,1
treesitter_ast_trainticket,,,,,676124512.0,ns,1
treesitter_ast_trainticket,,,,,571084794.0,ns,1
treesitter_ast_trainticket,,,,,583659905.0,ns,1
treesitter_ast_trainticket,,,,,711523011.0,ns,1
treesitter_ast_trainticket,,,,,432687528.0,ns,1
treesitter_ast_trainticket,,,,,470020901.0,ns,1
treesitter_ast_trainticket,,,,,501955817.0,ns,1
treesitter_ast_trainticket,,,,,648658054.0,ns,1
treesitter_ast_trainticket,,,,,1028761593.0,ns,1
treesitter_ast_trainticket,,,,,530343774.0,ns,1
treesitter_ast_trainticket,,,,,479828840.0,ns,1
treesitter_ast_trainticket,,,,,458933136.0,ns,1
treesitter_ast_trainticket,,,,,412633894.0,ns,1
treesitter_ast_trainticket,,,,,488803537.0,ns,1
treesitter_ast_trainticket,,,,,553190497.0,ns,1
