group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
treesitter_ast_trainticket_mem,,,,,451637906.0,ns,1
treesitter_ast_trainticket_mem,,,,,633388661.0,ns,1
treesitter_ast_trainticket_mem,,,,,573375322.0,ns,1
treesitter_ast_trainticket_mem,,,,,390245435.0,ns,1
treesitter_ast_trainticket_mem,,,,,446968521.0,ns,1
treesitter_ast_trainticket_mem,,,,,452442172.0,ns,1
treesitter_ast_trainticket_mem,,,,,442067501.0,ns,1
treesitter_ast_trainticket_mem,,,,,388126249.0,ns,1
treesitter_ast_trainticket_mem,,,,,388138464.0,ns,1
treesitter_ast_trainticket_mem,,,,,391014411.0,ns,1
treesitter_ast_trainticket_mem,,,,,388541307.0,ns,1
treesitter_ast_trainticket_mem,,,,,474286171.0,ns,1
treesitter_ast_trainticket_mem,,,,,413803649.0,ns,1
treesitter_ast_trainticket_mem,,,,,510533533.0,ns,1
treesitter_ast_trainticket_mem,,,,,387317200.0,ns,1
treesitter_ast_trainticket_mem,,,,,386918573.0,ns,1
treesitter_ast_trainticket_mem,,,,,386689272.0,ns,1
treesitter_ast_trainticket_mem,,,,,387136642.0,ns,1
treesitter_ast_trainticket_mem,,,,,387570682.0,ns,1
treesitter_ast_trainticket_mem,,,,,387390860.0,ns,1
treesitter_ast_trainticket_mem,,,,,387351005.0,ns,1
treesitter_ast_trainticket_mem,,,,,391491190.0,ns,1
treesitter_ast_trainticket_mem,,,,,387629620.0,ns,1
treesitter_ast_trainticket_mem,,,,,393334865.0,ns,1
treesitter_ast_trainticket_mem,,,,,389536443.0,ns,1
treesitter_ast_trainticket_mem,,,,,391206968.0,ns,1
treesitter_ast_trainticket_mem,,,,,397918758.0,ns,1
treesitter_ast_trainticket_mem,,,,,391030552.0,ns,1
treesitter_ast_trainticket_mem,,,,,390437055.0,ns,1
treesitter_ast_trainticket_mem,,,,,389737805.0,ns,1
treesitter_ast_trainticket_mem,,,,,394131330.0,ns,1
treesitter_ast_trainticket_mem,,,,,403898692.0,ns,1
treesitter_ast_trainticket_mem,,,,,399347021.0,ns,1
treesitter_ast_trainticket_mem,,,,,395364011.0,ns,1
treesitter_ast_trainticket_mem,,,,,392777703.0,ns,1
treesitter_ast_trainticket_mem,,,,,391835001.0,ns,1
treesitter_ast_trainticket_mem,,,,,400326284.0,ns,1
treesitter_ast_trainticket_mem,,,,,392479114.0,ns,1
